"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-03-20,90.4,-1.69,5.75,"Smith, D'Andre",694266,676153,,foul,,,,,14,Foul,S,R,R,NYM,STL,S,,,0,0,2026,0.29,0.58,0.09527684441038214,1.2118509945910783,806128,621438,690970,2,8,Bot,,,,,,,3.7930513312310747,-131.74504219237133,-6.575793218657697,2.779794769950522,22.290248645866253,-24.31447086740939,3.07519685,1.551968504,,,,92,2345,6.7,831456,650968,813852,680636,665877,699031,702331,695336,700720,53.77,,,,,,,,65,1,Slider,1,4,1,4,4,1,1,4,Standard,Standard,203,-0.016,-0.035,,,,0.035,,-3,-3,0.138,0.138,27,25,27,25,1,0,,,,,2.15,-0.29,-0.29,,,,,,
FF,2026-03-20,93.1,-3.16,5.27,"Pache, Cristian",665506,642575,,called_strike,,,,,4,Called Strike,S,R,R,NYM,STL,S,,,0,0,2026,-0.75,1.18,-0.6197268420387287,2.5408648801295777,,,,0,8,Bot,,,,,,,8.040379749106467,-135.2083094633496,-3.5900419697182193,-11.03879715303174,32.10067114375054,-17.095033901095537,3.286704396,1.65871063,,,,92.1,2075,6,831456,650968,813852,680636,665877,699031,702331,695336,700720,54.52,,,,,,,,59,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,225,-0.002,-0.039,,,,0.039,,-4,-4,0.044,0.044,30,27,31,28,1,0,,,,,1.48,0.75,0.75,,,,,,
SI,2026-03-20,92.1,0.55,6.64,"Benge, Carson",701807,669461,,called_strike,,,,,9,Called Strike,S,L,L,NYM,STL,S,,,0,0,2026,1.15,1.3,0.6516134090175381,2.136872059968701,,,,0,1,Bot,,,,,,,-2.2817175002875496,-133.86117248309756,-8.135853959490188,14.253483295062676,31.278601042480318,-14.916407375660919,3.259498032,1.644980315,,,,91.5,2023,6.2,831456,671056,650968,602104,665877,690914,701675,695336,691023,54.34,,,,,,,,6,1,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,150,-0.004,-0.039,,,,0.039,,-1,-1,0.448,0.448,26,23,27,23,1,0,,,,,1.41,1.15,1.15,,,,,,
FF,2026-03-20,93.7,-1.89,5.49,"Young, Jared",676724,703725,,called_strike,,,,,7,Called Strike,S,L,R,NYM,STL,S,,,0,0,2026,-1.18,1.19,-0.6371522092392492,1.8500107840538087,,,,0,9,Bot,,,,,,,5.868987213965071,-136.2916204039747,-6.153254502956621,-16.00145800942177,29.388033394572698,-16.153970354289847,3.280561024,1.655610236,,,,94.2,2439,6.6,831456,650968,813852,680636,809633,699031,702331,800266,700720,53.94,,,,,,,,71,1,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,233,-0.013,-0.039,,,,0.039,,-1,-1,0.204,0.204,24,30,25,31,1,3,,,,,1.4,1.18,-1.18,,,,,,
SI,2026-03-20,89.7,3.41,4.82,"Senger, Hayden",663584,677865,,called_strike,,,,,4,Called Strike,S,R,L,NYM,STL,S,,,0,0,2026,1.27,0.27,-0.6796790409366413,2.4268035184185117,,,,0,6,Bot,,,,,,,-12.792624350448758,-130.0938056300545,-0.28489782741511993,17.07314969125272,26.822689868158992,-29.306145141908736,3.234924541,1.63257874,,,,90.3,2162,6.8,831456,650968,813852,680636,665877,690914,701675,695336,691023,53.72,,,,,,,,43,1,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,110,-0.003,-0.039,,,,0.039,,-4,-4,0.098,0.098,29,29,29,29,1,1,,,,,2.58,1.27,-1.27,,,,,,
SL,2026-03-20,85.7,-1.56,6.15,"Vientos, Mark",668901,656240,field_out,hit_into_play,,,,,7,"Mark Vientos grounds out, shortstop Brody Moore to first baseman Trey Paige.",S,R,R,NYM,STL,X,6,ground_ball,0,0,2026,0.07,-0.19,-0.38844057655367964,1.8043086801829067,,,,0,7,Bot,107.38,154.91,,,,,2.6324854360093073,-124.76997982182387,-3.403926946800061,0.18961189691522784,24.35304529769957,-33.73948406983143,3.340239501,1.685728347,88,107.5,3,86.7,2167,6.8,831456,650968,813852,680636,665877,690914,701675,695336,691023,53.66,,,0,,0,0,4,52,1,Slider,0,4,0,4,4,0,0,4,Standard,Standard,54,-0.018,-0.259,,,,0.259,107.5,-4,-4,0.071,0.071,30,26,30,27,1,2,,,,,3.29,-0.07,-0.07,,,,,,
SL,2026-03-20,85.1,-1.72,5.65,"Smith, D'Andre",694266,676153,,blocked_ball,,,,,14,Ball In Dirt,S,R,R,NYM,STL,B,,,0,1,2026,0.52,0.05,0.7755701554419601,0.004005423061939517,806128,621438,690970,2,8,Bot,,,,,,,4.762718447115435,-123.71406583426338,-6.758476703612519,4.32023651424678,25.250620899357408,-30.472334552433047,3.07519685,1.551968504,,,,85.6,2622,6.7,831456,650968,813852,680636,665877,699031,702331,695336,700720,53.76,,,,,,,,65,2,Slider,1,4,1,4,4,1,1,4,Standard,Standard,86,0.011,0.031,,,,-0.031,,-3,-3,0.122,0.122,27,25,27,25,1,0,,,,,3.11,-0.52,-0.52,,,,,,
CH,2026-03-20,81.6,3.38,4.77,"Senger, Hayden",663584,677865,,ball,,,,,12,Ball,S,R,L,NYM,STL,B,,,0,1,2026,0.91,0.6,1.21624939205266,3.0896720790994454,,,,0,6,Bot,,,,,,,-6.63516731109103,-118.68369180174065,1.828514460005499,9.837232868359054,22.665247070583074,-27.048131709708667,3.234924541,1.63257874,,,,82.3,1439,6.8,831456,650968,813852,680636,665877,690914,701675,695336,691023,53.73,,,,,,,,43,2,Changeup,0,4,0,4,4,0,0,4,Standard,Standard,109,0.002,0.031,,,,-0.031,,-4,-4,0.095,0.095,29,29,29,29,1,1,,,,,2.82,0.91,-0.91,,,,,,
SL,2026-03-20,83.7,-3.13,5.49,"Pache, Cristian",665506,642575,,ball,,,,,14,Ball,S,R,R,NYM,STL,B,,,0,1,2026,0.28,-0.08,0.6875207892967151,1.285165738728117,,,,0,8,Bot,,,,,,,8.10111872819944,-121.6151461407649,-2.877582030899223,1.2026721298528926,23.735983746931968,-32.589907501668236,3.286704396,1.65871063,,,,83.5,1961,6.3,831456,650968,813852,680636,665877,699031,702331,695336,700720,54.25,,,,,,,,59,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,177,0.001,0.031,,,,-0.031,,-4,-4,0.042,0.042,30,27,31,28,1,0,,,,,3.34,-0.28,-0.28,,,,,,
FF,2026-03-20,98.2,-1.64,6.12,"Tauchman, Mike",643565,656240,,foul,,,,,5,Foul,S,L,R,NYM,STL,S,,,0,0,2026,-0.7,1.32,-0.01713938332908882,2.4128590709340907,,,,1,7,Bot,,,,,,,6.053276201704934,-142.69393547048503,-7.5014116140003075,-10.954538554410552,34.535817570032094,-12.584203730691309,3.254232283,1.642322835,287,90.9,49,99.3,2332,7.1,831456,650968,813852,680636,665877,690914,701675,695336,691023,53.43,,,,,,,,53,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shade,Standard,210,-0.002,-0.039,,,,0.039,90.9,-4,-4,0.053,0.053,30,35,30,36,1,2,,,,,1.06,0.7,-0.7,,,,,,
