"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-03-21,81.7,-1,6.52,"Senger, Hayden",663584,701552,,called_strike,,,,,1,Called Strike,S,R,R,WSH,NYM,S,,,0,0,2026,-0.05,0.53,-0.6464571052668515,3.169295361966911,,,,0,9,Top,,,,,,,0.8689963652927556,-119.1865188816731,-1.90006609852706,-0.5878065782054999,20.138325373794363,-26.971168137161207,3.234924541,1.63257874,,,,81.1,2191,5.5,831448,821049,665953,694939,682775,814409,694848,686894,683610,55.05,,,,,,,,61,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,156,0.009,-0.039,,,,0.039,,0,0,0.5,0.5,26,29,26,29,1,0,,,,,2.84,0.05,0.05,,,,,,
FF,2026-03-21,96,-1.21,5.99,"Taylor, Tyrone",621438,690925,field_out,hit_into_play,,,,,4,"Tyrone Taylor grounds out, second baseman Marcus Brown to first baseman Andrés Chaparro.",S,R,R,WSH,NYM,X,4,ground_ball,0,0,2026,-0.49,1.52,-0.5274859912266763,2.33595333551677,,,,0,7,Top,138.63,160.27,,,,,2.869228421629808,-139.64492626839456,-7.299916352186253,-7.079887325784841,30.126317904028014,-10.809682536990358,3.231414042,1.630807087,110,70.3,10,95.2,2581,5.7,831448,660688,665953,694939,682775,814409,694848,686894,683610,54.76,,,0,,0,0,2,45,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202,0.039,-0.259,,,,0.259,88.0,0,0,0.5,0.5,27,32,28,32,1,2,,,,,0.94,0.49,0.49,,,,,,
CH,2026-03-21,78.7,2.55,4.4,"Vientos, Mark",668901,676571,,called_strike,,,,,6,Called Strike,S,R,L,WSH,NYM,S,,,0,0,2026,0.6,-0.18,0.31714165503704417,2.4299290974973218,,,,0,6,Top,,,,,,,-5.879107929639896,-114.40180858796244,3.1056061105008914,6.425807145035894,22.333181733247166,-34.61850132657428,3.340239501,1.685728347,,,,77.9,1234,5.9,831448,660688,665953,694939,682775,814409,695763,686894,683610,54.56,,,,,,,,39,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,82,0.005,-0.039,,,,0.039,,0,0,0.5,0.5,29,26,30,27,1,2,,,,,3.89,0.6,-0.6,,,,,,
FF,2026-03-21,96.3,-1.33,5.34,"Hernández, Yonny",660634,681402,,ball,,,,,12,Ball,S,L,R,WSH,NYM,B,,,0,0,2026,-0.83,1.55,0.44777430388515116,3.15097368388163,,,,0,8,Top,,,,,,,6.614231637692233,-140.09409170544498,-3.6624539803006892,-12.42818174191332,30.528320223292727,-11.152877562986985,3.012007874,1.52007874,,,,96.8,2431,6.5,831448,668663,665953,694939,682775,814409,694848,686894,683610,53.99,,,,,,,,52,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,-0.007,0.041,,,,-0.041,,0,0,0.5,0.5,29,28,30,28,1,2,,,,,0.91,0.83,-0.83,,,,,,
FF,2026-03-21,96.7,-2.69,6.13,"Benge, Carson",701807,676917,,ball,,,,,11,Ball,S,L,R,WSH,NYM,B,,,0,0,2026,-0.44,1.36,-0.8293596631635847,3.0181243063570173,,,,0,1,Top,,,,,,,5.924804827867404,-140.56235735363506,-5.674909996329531,-7.154808433150747,32.94114009874418,-13.081454691128878,3.259498032,1.644980315,,,,97.1,2400,6.6,831448,660688,671277,683083,677588,814409,695763,686894,681047,53.88,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211,-0.004,0.041,,,,-0.041,,0,0,0.5,0.5,27,23,28,23,1,0,,,,,1.09,0.44,-0.44,,,,,,
CH,2026-03-21,79.9,2.4,4.52,"Vientos, Mark",668901,676571,,foul,,,,,14,Foul,S,R,L,WSH,NYM,S,,,0,1,2026,1.05,-0.05,0.898475835798118,2.019079099996395,,,,0,6,Top,,,,,,,-5.217678002312524,-116.13929656395035,1.5849000302769476,10.497342192728244,24.54173811076595,-33.22702153124078,3.340239501,1.685728347,162,65.4,65,78.8,1553,5.8,831448,660688,665953,694939,682775,814409,695763,686894,683610,54.66,,,,,,,,39,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,89,0.009,-0.055,,,,0.055,88.0,0,0,0.505,0.495,29,26,30,27,1,2,,,,,3.67,1.05,-1.05,,,,,,
FF,2026-03-21,96.3,-1.37,5.24,"Hernández, Yonny",660634,681402,field_out,hit_into_play,,,,,6,Yonny Hernández lines out to left fielder Sam Brown.,S,L,R,WSH,NYM,X,7,line_drive,1,0,2026,-0.91,1.39,0.31494681406056835,2.16744650821259,,,,0,8,Top,74.84,82.07,,,,,6.53554866547072,-140.15872925825838,-5.662286654954937,-13.381146927177832,29.40613852520127,-12.723640098247458,3.012007874,1.52007874,317,94.4,22,97,2381,6.5,831448,668663,665953,694939,682775,814409,694848,686894,683610,53.96,,,0,,0,0,3,52,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,0.053,-0.301,,,,0.301,94.4,0,0,0.493,0.507,29,28,30,28,1,2,,,,,1.05,0.91,-0.91,,,,,,
SL,2026-03-21,82,-1.1,6.5,"Senger, Hayden",663584,701552,,swinging_strike,,,,,11,Swinging Strike,S,R,R,WSH,NYM,S,,,0,1,2026,0.08,0.49,-0.7499784307361,3.9822683636831617,,,,0,9,Top,,,,,,,0.6247247703497883,-119.58284976604283,-0.002803217936910518,0.6698229253042876,21.406934316261797,-27.640591336467594,3.234924541,1.63257874,,,,81.3,2301,5.5,831448,821049,665953,694939,682775,814409,694848,686894,683610,54.98,,,,,,,,61,2,Slider,1,1,1,1,1,1,1,1,Standard,Standard,133,0.014,-0.055,,,,0.055,,0,0,0.509,0.491,26,29,26,29,1,0,,,,,2.86,-0.08,-0.08,,,,,,
FF,2026-03-21,96,-2.72,6.13,"Benge, Carson",701807,676917,field_out,hit_into_play,,,,,3,"Carson Benge grounds out, second baseman Nasim Nuñez to first baseman Luis García Jr.",S,L,R,WSH,NYM,X,4,ground_ball,1,0,2026,-0.46,1.34,0.40705084810862935,2.7775370545721145,,,,0,1,Top,144.4,153.61,,,,,9.171163698334619,-139.3779663455533,-6.094340012418108,-8.085765458612192,32.09144429974352,-13.522182861707481,3.259498032,1.644980315,82,83.6,5,95.5,2399,6.2,831448,660688,671277,683083,677588,814409,695763,686894,681047,54.32,,,0,,0,0,2,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,212,0.026,-0.301,,,,0.301,88.0,0,0,0.496,0.504,27,23,28,23,1,0,,,,,1.15,0.46,-0.46,,,,,,
FF,2026-03-21,96.7,-1.11,6.01,"Bruján, Vidal",660644,690925,,called_strike,,,,,4,Called Strike,S,L,R,WSH,NYM,S,,,0,0,2026,-0.32,1.39,-0.7115230680269826,2.2758478322504327,,,,1,7,Top,,,,,,,1.778774097603838,-140.8354624416651,-7.385996523190122,-4.674101128940217,28.67218456994992,-12.208893914801541,3.084850722,1.556840551,,,,96.2,2403,5.7,831448,660688,665953,694939,682775,814409,694848,686894,683610,54.77,,,,,,,,46,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199,0.004,-0.039,,,,0.039,,0,0,0.539,0.46099999999999997,27,28,28,28,1,2,,,,,1.02,0.32,-0.32,,,,,,
