"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2026-03-22,85.1,3.09,5.45,"Bichette, Bo",666182,677053,,ball,,,,,12,Ball,S,R,L,MIA,NYM,B,,,0,0,2026,0.63,0.12,2.0555397701880724,2.8297175325903643,,,,0,6,Top,,,,,,,-3.7176376034923138,-123.92532634233869,0.08299085719984989,7.2369216660991205,24.058420939870214,-31.12162849581577,3.162081693,1.595816929,,,,85.8,955,6.7,831446,682663,810891,665846,688363,691594,681715,801464,683357,53.84,,,,,,,,41,1,Split-Finger,1,3,3,1,3,1,3,1,Standard,Standard,112,-0.003,0.041,,,,-0.041,,-2,2,0.221,0.779,27,28,28,28,1,2,,,,,3.01,0.63,-0.63,,,,,,
FC,2026-03-22,87.3,-1.71,5.92,"Semien, Marcus",543760,679029,,ball,,,,,13,Ball,S,R,R,MIA,NYM,B,,,0,0,2026,0.17,0.41,-0.8127495221921167,0.9747993739494194,,,683146,2,4,Top,,,,,,,1.7812020821123842,-127.13231538971333,-6.3331632834092355,1.4350576867234288,25.5221291664785,-26.69315436811296,3.212106299,1.621062992,,,,86.9,1946,6,831446,682663,689414,665846,688363,691594,681715,801464,683357,54.54,,,,,,,,28,1,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,191,-0.002,0.035,,,,-0.035,,-2,2,0.292,0.708,26,35,27,36,1,1,,,,,2.57,-0.17,-0.17,,,,,,
CH,2026-03-22,92.4,-1.91,6.28,"Lindor, Francisco",596019,645261,,called_strike,,,,,4,Called Strike,S,L,R,MIA,NYM,S,,,0,0,2026,-0.98,1.1,-0.3618521754189954,2.586987478022956,,,,0,1,Top,,,,,,,6.006038787567333,-134.40513621788833,-5.827490629687466,-13.147158616619638,25.844547537488207,-17.77001423955043,3.107668963,1.568356299,,,,92,2235,5.8,831446,682663,689414,665846,688363,691594,681715,801464,683357,54.68,,,,,,,,1,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,226,0.003,-0.039,,,,0.039,,0,0,0.5,0.5,30,32,31,33,1,0,,,,,1.55,0.98,-0.98,,,,,,
FF,2026-03-22,94.3,-2.4,5.23,"Semien, Marcus",543760,676604,,ball,,,,,11,Ball,S,R,R,MIA,NYM,B,,,0,0,2026,-1.05,1.23,-0.8461068508812184,3.348823560283345,,,,0,7,Top,,,,,,,6.310850593573811,-137.2722784603788,-1.8229472178453991,-14.638135699631318,28.852423318260275,-16.417306538522542,3.212106299,1.621062992,,,,94,2319,6,831446,695426,810891,665846,801957,829035,703563,801464,806982,54.52,,,,,,,,51,1,4-Seam Fastball,2,3,3,2,3,2,3,2,Standard,Standard,224,-0.004,0.041,,,,-0.041,,-1,1,0.308,0.692,31,35,31,36,1,2,,,,,1.32,1.05,1.05,,,,,,
FC,2026-03-22,89.6,-1.84,6.27,"Lindor, Francisco",596019,645261,,ball,,,,,12,Ball,S,L,R,MIA,NYM,B,,,0,1,2026,0.37,0.75,1.0794515109132272,2.890971459714721,,,,0,1,Top,,,,,,,6.270760523932658,-130.56797509903413,-3.8607022090987657,3.2499041724702717,22.177168637604286,-22.97452561252952,3.107668963,1.568356299,,,,89.7,2309,5.9,831446,682663,689414,665846,688363,691594,681715,801464,683357,54.63,,,,,,,,1,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,203,-0.002,0.031,,,,-0.031,,0,0,0.503,0.497,30,32,31,33,1,0,,,,,2.04,-0.37,0.37,,,,,,
FF,2026-03-22,97.4,-1.45,5.93,"Semien, Marcus",543760,679029,field_out,hit_into_play,,,,,5,Marcus Semien lines out sharply to left fielder Heriberto Hernández.,S,R,R,MIA,NYM,X,7,line_drive,1,0,2026,-0.67,1.23,-0.19944692563999933,2.3434483985577033,,,683146,2,4,Top,51.4,89.63,,,,,4.868973435836292,-141.68818032287908,-6.731518162076821,-10.165047617713823,33.082126838499676,-14.227871484676031,3.212106299,1.621062992,326,104.9,22,97.1,1999,6.2,831446,682663,689414,665846,688363,691594,681715,801464,683357,54.33,,,0,,0,0,6,28,2,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,217,0.021,-0.305,,,,0.305,104.9,-2,2,0.29,0.71,26,35,27,36,1,1,,,,,1.18,0.67,0.67,,,,,,
FF,2026-03-22,92.9,2.77,5.72,"Bichette, Bo",666182,677053,,ball,,,,,12,Ball,S,R,L,MIA,NYM,B,,,1,0,2026,0.52,1.31,0.23513073548153984,3.967228400809506,,,,0,6,Top,,,,,,,-7.616151896183143,-135.18765255709454,-1.4918845496730857,8.092826711699496,29.60920152048111,-15.93558601405426,3.162081693,1.595816929,,,,93.4,2243,6.6,831446,682663,810891,665846,688363,691594,681715,801464,683357,53.9,,,,,,,,41,2,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,143,-0.005,0.077,,,,-0.077,,-2,2,0.218,0.782,27,28,28,28,1,2,,,,,1.33,0.52,-0.52,,,,,,
SL,2026-03-22,86.7,-2.32,5.27,"Semien, Marcus",543760,676604,,ball,,,,,11,Ball,S,R,R,MIA,NYM,B,,,1,0,2026,0.32,0.16,-0.0784482347228137,3.808418462972122,,,,0,7,Top,,,,,,,4.6003616492701065,-126.33237038699536,2.3852158772648178,2.6909941810044207,21.599743897140637,-31.02158723020693,3.212106299,1.621062992,,,,86.9,2474,6,831446,695426,810891,665846,801957,829035,703563,801464,806982,54.53,,,,,,,,51,2,Slider,2,3,3,2,3,2,3,2,Standard,Standard,92,-0.007,0.077,,,,-0.077,,-1,1,0.304,0.696,31,35,31,36,1,2,,,,,2.82,-0.32,-0.32,,,,,,
FF,2026-03-22,91.9,2.83,5.67,"Bichette, Bo",666182,677053,,ball,,,,,13,Ball,S,R,L,MIA,NYM,B,,,2,0,2026,0.52,1.29,-0.7371919378105206,1.0118533230951943,,,,0,6,Top,,,,,,,-10.094819670797111,-133.25189122335044,-8.612052374411364,8.20863647503362,26.556282814354116,-15.041434145652024,3.162081693,1.595816929,,,,92.6,2126,6.7,831446,682663,810891,665846,688363,691594,681715,801464,683357,53.78,,,,,,,,41,3,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,143,-0.008,0.152,,,,-0.152,,-2,2,0.213,0.787,27,28,28,28,1,2,,,,,1.41,0.52,-0.52,,,,,,
SI,2026-03-22,93.9,-2.11,5.21,"Semien, Marcus",543760,676604,,foul,,,,,1,Foul,S,R,R,MIA,NYM,S,,,2,0,2026,-1.35,0.72,-0.3476169150957771,2.989513834152288,,,,0,7,Top,,,,,,,7.499492636296426,-136.64775933701696,-1.5085176130565814,-18.595593399164322,27.43422563753678,-22.98984216907105,3.212106299,1.621062992,73,77.6,82,93.8,2141,6,831446,695426,810891,665846,801957,829035,703563,801464,806982,54.46,,,,,,,,51,3,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,217,0.007,-0.072,,,,0.072,88.0,-1,1,0.297,0.7030000000000001,31,35,31,36,1,2,,,,,1.85,1.35,1.35,,,,,,
