"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-03-28,83,-2.16,5.85,"Polanco, Jorge",593871,642701,,ball,,,,,12,Ball,R,L,R,NYM,PIT,B,,,0,0,2026,0.28,0.09,1.2181153115071797,3.3917913417615515,,,,0,9,Bot,,,,,,,7.016018304343033,-120.48729007026756,1.0362472175520716,0.9829942441792344,29.314434880034305,-31.835493447415175,3.191043307,1.610433071,,,,81.6,2434,6.1,823651,680779,656811,664040,693304,669707,668804,663968,694377,54.42,,,,,,,,70,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,85,0.007,0.041,,,,-0.041,,0,0,0.639,0.639,30,32,30,33,1,3,2,2,1,1,3.3,-0.28,0.28,33.0,,,,,
SL,2026-03-28,81.9,3.32,5.24,"Semien, Marcus",543760,682995,,called_strike,,,,,12,Called Strike,R,R,L,NYM,PIT,S,,,0,0,2026,-0.88,-0.62,0.12946217911329472,3.3502924783600205,,683146,,0,10,Bot,,,,,,,-5.336885439662381,-118.87263082553777,3.8928433847955564,-6.7915198159775185,29.7131916975111,-39.2078829018477,3.212106299,1.621062992,,,,80.2,2117,6,823651,680779,656811,664040,693304,669707,668804,663968,695257,54.52,,,,,,,,79,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,305,-0.024,-0.043,,,,0.043,,-1,-1,0.448,0.448,25,35,26,36,1,3,,2,3,1,4.13,-0.88,0.88,19.5,,,,,
SI,2026-03-28,93.3,-2.96,4.14,"Polanco, Jorge",593871,664875,,ball,,,,,11,Ball,R,L,R,NYM,PIT,B,,,0,0,2026,-2.07,0.03,-1.2130970797732838,2.7529025250785635,,,,0,7,Bot,,,,,,,9.062739178751755,-135.46855830958486,2.3759584470423527,-27.504002703861754,33.0787039941532,-32.64551901716383,3.191043307,1.610433071,,,,92.8,2315,6.4,823651,663698,656811,664040,693304,669707,668804,663968,694377,54.11,,,,,,,,53,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,254,0.006,0.041,,,,-0.041,,0,0,0.588,0.588,31,32,32,33,1,2,2,2,2,1,2.62,2.07,-2.07,-6.5,,,,,
FF,2026-03-28,95.4,2.31,5.77,"Benge, Carson",701807,642397,,called_strike,,,,,8,Called Strike,R,L,L,NYM,PIT,S,,,0,0,2026,1.36,1.46,0.2189608264077043,2.09557239053386,,593871,673357,2,7,Bot,,,,,,,-8.559439379417164,-138.3835714312179,-7.05271825536455,19.47822823069818,36.45150404301199,-11.942346097878602,3.259498032,1.644980315,,,,94.9,2230,6.6,823651,663698,656811,664040,693304,669707,668804,663968,694377,53.93,,,,,,,,57,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,133,-0.011,-0.047,,,,0.047,,0,0,0.576,0.576,31,23,31,23,1,2,2,2,3,1,1.09,1.36,1.36,35.4,,,,,
FF,2026-03-28,92.2,-2,5.93,"Lindor, Francisco",596019,656605,,foul_tip,,,,,3,Foul Tip,R,L,R,NYM,PIT,S,,,0,0,2026,-0.65,1.42,0.34023393435878646,2.9525344356133703,,,,0,1,Bot,,,,,,,7.336049274525704,-134.00287531486606,-4.632496810607682,-9.546794813546791,32.988127506403124,-14.27322661059474,3.107668963,1.568356299,,,,92.1,2319,6.6,823651,663698,656811,664040,693304,669707,668804,663968,694377,53.91,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,211,-0.003,-0.039,75.0,7.2,,0.039,,0,0,0.548,0.548,30,32,30,33,1,0,,2,6,1,1.3,0.65,-0.65,37.2,15.133442914411539,-6.924646549826636,35.47825829559304,29.02429757992433,34.1587310855439
FF,2026-03-28,94.4,3.13,5.54,"Semien, Marcus",543760,682995,,ball,,,,,12,Ball,R,R,L,NYM,PIT,B,,,0,1,2026,1.3,1.42,1.503004877885414,2.470709243147753,,683146,,0,10,Bot,,,,,,,-7.0536554004003875,-136.82910075773512,-4.966686312113487,17.97810440203884,43.727253778274374,-13.620232693225152,3.212106299,1.621062992,,,,91.8,2324,6,823651,680779,656811,664040,693304,669707,668804,663968,695257,54.52,,,,,,,,79,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,122,0.016,0.026,,,,-0.026,,-1,-1,0.424,0.424,25,35,26,36,1,3,,2,3,1,1.26,1.3,-1.3,22.5,,,,,
FF,2026-03-28,97,2.19,5.83,"Benge, Carson",701807,642397,,ball,,,,,13,Ball,R,L,L,NYM,PIT,B,,,0,1,2026,1.35,1.39,-0.9934667245252535,1.671346456711849,,593871,673357,2,7,Bot,,,,,,,-11.537080947079074,-140.3437073498966,-8.418416136303902,20.711280668071797,37.9818432253123,-11.858878918225304,3.259498032,1.644980315,,,,96.1,2277,6.5,823651,663698,656811,664040,693304,669707,668804,663968,694377,53.98,,,,,,,,57,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,137,0.007,0.018,,,,-0.018,,0,0,0.565,0.565,31,23,31,23,1,2,2,2,3,1,1.1,1.35,1.35,40.0,,,,,
FF,2026-03-28,91.2,-2.13,5.72,"Polanco, Jorge",593871,642701,,called_strike,,,,,3,Called Strike,R,L,R,NYM,PIT,S,,,1,0,2026,-0.72,1.55,0.35716981817485316,2.9338011214449775,,,,0,9,Bot,,,,,,,7.689961118161281,-132.27372480795418,-4.098001410638474,-10.433847944804395,36.22875452053162,-13.43913131507429,3.191043307,1.610433071,,,,89.3,2321,6,823651,680779,656811,664040,693304,669707,668804,663968,694377,54.51,,,,,,,,70,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,227,-0.01,-0.05,,,,0.05,,0,0,0.646,0.646,30,32,30,33,1,3,2,2,1,1,1.27,0.72,-0.72,31.3,,,,,
SI,2026-03-28,93.5,-2.87,4.05,"Polanco, Jorge",593871,664875,,swinging_strike,,,,,13,Swinging Strike,R,L,R,NYM,PIT,S,,,1,0,2026,-1.97,0.06,-1.1081767632193518,1.9359000515529314,,,,0,7,Bot,,,,,,,8.941432701007628,-135.76974751190113,0.4438707403586737,-26.311329714837623,33.98471054003339,-31.79411529885129,3.191043307,1.610433071,,,,93.3,2370,6.6,823651,663698,656811,664040,693304,669707,668804,663968,694377,53.9,,,,,,,,53,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,251,-0.008,-0.05,37.1,5.4,,0.05,,0,0,0.594,0.594,31,32,32,33,1,2,2,2,2,1,2.59,1.97,-1.97,-4.2,-17.49071812223737,44.56709333532435,30.625998401777668,50.16869752206951,-2.809634658496509
FF,2026-03-28,93.3,-2.02,5.88,"Lindor, Francisco",596019,656605,,ball,,,,,12,Ball,R,L,R,NYM,PIT,B,,,0,1,2026,-1,1.82,0.8185119195537354,3.8784523562560684,,,,0,1,Bot,,,,,,,9.4642318023435,-135.25942475529953,-3.077335617040185,-14.724788289577486,40.455970918893605,-9.775546933728512,3.107668963,1.568356299,,,,92.1,2444,6.6,823651,663698,656811,664040,693304,669707,668804,663968,694377,53.87,,,,,,,,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214,0.002,0.031,,,,-0.031,,0,0,0.545,0.545,30,32,30,33,1,0,,2,6,1,0.9,1,-1,35.5,,,,,
