"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-03-31,99.1,-1.38,5.85,"Robert Jr., Luis",673357,676617,,called_strike,,,,,2,Called Strike,R,R,R,STL,NYM,S,,,0,0,2026,-1.47,0.61,-0.2331951616032495,3.053462804641495,,,,0,9,Top,,,,,,,6.642451806902308,-144.14732529080229,-3.4927812806447283,-22.062299511970075,34.4426012845207,-23.01663798760671,3.310400263,1.670669291,,,,99.8,2255,6.8,823077,671056,676475,802139,602104,691026,701675,687363,691023,53.75,,,,,,,,65,1,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,225,0.003,-0.039,,,,0.039,,3,-3,0.966,0.03400000000000003,31,28,31,29,1,3,3,1,1,1,1.72,1.47,1.47,32.2,,,,,
FF,2026-03-31,97.5,-0.34,6.49,"Baty, Brett",683146,592773,,swinging_strike,,,,,11,Swinging Strike,R,L,R,STL,NYM,S,,,0,0,2026,-0.68,1.5,-0.4210421844611539,3.57070627651429,,,,0,7,Top,,,,,,,1.375920055238286,-141.83759087525058,-5.509601657793425,-9.453344717739647,38.43406920912261,-10.931229297164602,3.327952756,1.679527559,,,,95.8,2355,5.7,823077,671056,676475,802139,602104,691026,701675,687363,691023,54.77,,,,,,,,49,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Infield shade,Standard,215,0.005,-0.039,75.3,7.0,,0.039,,2,-2,0.815,0.18500000000000005,34,26,35,27,1,0,3,1,1,1,0.93,0.68,-0.68,44.6,9.879657755940219,14.020385339119548,33.02685228950299,40.94412709798762,18.699657882491316
ST,2026-03-31,81.8,2.43,5.41,"Lindor, Francisco",596019,668941,,ball,,,,,14,Ball,R,R,L,STL,NYM,B,,,0,0,2026,-1.48,-0.14,1.021725813931451,1.769146287873998,,,,0,8,Top,,,,,,,-0.22984201859720838,-119.15310327345948,-1.065624570206648,-13.957259892169741,25.826414975063937,-33.53774078325501,3.107668963,1.568356299,,,,79.9,2793,5.2,823077,671056,676475,802139,602104,691026,701675,687363,691023,55.27,,,,,,,,59,1,Sweeper,3,0,0,3,0,3,0,3,Standard,Standard,315,-0.004,0.041,,,,-0.041,,3,-3,0.928,0.07199999999999995,29,32,30,33,1,3,3,1,1,1,3.58,-1.48,1.48,36.1,,,,,
SL,2026-03-31,88.4,-1.58,6.01,"Robert Jr., Luis",673357,700669,field_out,hit_into_play,,,,,5,Luis Robert Jr. flies out sharply to center fielder Victor Scott II. Juan Soto to 3rd.,R,R,R,STL,NYM,X,8,fly_ball,0,0,2026,-0.02,0.19,0.16889615597378715,2.7745713038732553,,665742,666182,0,6,Top,125.47,48.1,,,,,4.251079623334862,-128.7190505823423,-2.0304543900845404,-1.0442320918739443,25.377925126105,-29.852641548817545,3.310400263,1.670669291,373,102.3,37,88.6,2245,6.3,823077,671056,676475,802139,602104,691026,701675,687363,691023,54.22,0.363,0.717,0,1,0,0,5,44,1,Slider,2,0,0,2,0,2,0,2,Standard,Standard,163,0.047,-0.263,77.7,7.9,1.375,0.263,102.3,2,-2,0.64,0.36,26,28,26,29,1,2,,1,1,1,2.71,0.02,0.02,47.6,12.944371871356646,-3.039700333540455,32.31056306161562,39.307834652334535,27.85147393383828
FF,2026-03-31,95.5,-1.66,5.94,"Lindor, Francisco",596019,669467,,called_strike,,,,,5,Called Strike,R,L,R,STL,NYM,S,,,0,0,2026,-0.08,1.13,-0.0019844603946347628,2.597379251445779,,,,0,1,Top,,,,,,,4.515815812146951,-138.9161452757656,-5.5713432738608235,-2.0473727007443516,31.019312017377175,-16.49185300657632,3.107668963,1.568356299,,,,95.9,2227,6.5,823077,671056,676475,802139,602104,691026,701675,687363,691023,53.96,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199,0.003,-0.039,,,,0.039,,0,0,0.5,0.5,27,32,28,33,1,0,,1,6,1,1.37,0.08,-0.08,56.3,,,,,
KC,2026-03-31,77.3,-1.47,5.99,"Lindor, Francisco",596019,669467,,called_strike,,,,,8,Called Strike,R,L,R,STL,NYM,S,,,0,1,2026,0.47,-1.41,0.19259435081723242,1.9567004511110726,,,,0,1,Top,,,,,,,2.6371004621618273,-112.46451006437769,1.2949045801123504,3.4475092402700898,22.617659434536545,-44.56882972606475,3.107668963,1.568356299,,,,77.2,2709,6.5,823077,671056,676475,802139,602104,691026,701675,687363,691023,54,,,,,,,,1,2,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,21,0.006,-0.055,,,,0.055,,0,0,0.503,0.497,27,32,28,33,1,0,,1,6,1,5.26,-0.47,0.47,61.5,,,,,
SL,2026-03-31,92.5,-1.63,5.69,"Robert Jr., Luis",673357,676617,,ball,,,,,14,Ball,R,R,R,STL,NYM,B,,,0,1,2026,0.3,0.57,2.047684970102192,1.5440110738472312,,,,0,9,Top,,,,,,,8.681932125412867,-134.44746834192375,-5.830303494201762,1.7700689388574682,28.84738702439806,-24.14934551374183,3.310400263,1.670669291,,,,93.4,2557,6.9,823077,671056,676475,802139,602104,691026,701675,687363,691023,53.63,,,,,,,,65,2,Slider,3,0,0,3,0,3,0,3,Standard,Standard,238,-0.002,0.031,,,,-0.031,,3,-3,0.969,0.031000000000000028,31,28,31,29,1,3,3,1,1,1,2.1,-0.3,-0.3,32.2,,,,,
FS,2026-03-31,89.5,-0.46,6.21,"Baty, Brett",683146,592773,,ball,,,,,14,Ball,R,L,R,STL,NYM,B,,,0,1,2026,-1.18,0.48,0.9070504006431568,1.551423794014266,,,,0,7,Top,,,,,,,5.8298402605004656,-130.11293251438147,-6.217295478065185,-14.666769995777724,28.27629223596079,-25.525273231492417,3.327952756,1.679527559,,,,88.9,1147,6,823077,671056,676475,802139,602104,691026,701675,687363,691023,54.47,,,,,,,,49,2,Split-Finger,2,0,0,2,0,2,0,2,Infield shade,Standard,238,-0.003,0.031,,,,-0.031,,2,-2,0.82,0.18000000000000005,34,26,35,27,1,0,3,1,1,1,2.37,1.18,-1.18,44.5,,,,,
ST,2026-03-31,83.2,2.45,5.35,"Lindor, Francisco",596019,668941,,called_strike,,,,,4,Called Strike,R,R,L,STL,NYM,S,,,1,0,2026,-1.25,-0.17,-0.4021810631208429,2.2578254859297746,,,,0,8,Top,,,,,,,-3.8794274630262935,-121.0171901343052,-0.016922043163553058,-11.279915166070499,26.541343812166122,-34.10260746020075,3.107668963,1.568356299,,,,81.1,2838,5.2,823077,671056,676475,802139,602104,691026,701675,687363,691023,55.34,,,,,,,,59,2,Sweeper,3,0,0,3,0,3,0,3,Standard,Standard,292,0.005,-0.05,,,,0.05,,3,-3,0.924,0.07599999999999996,29,32,30,33,1,3,3,1,1,1,3.5,-1.25,1.25,27.5,,,,,
CU,2026-03-31,83,-1.45,6.23,"Young, Jared",676724,700669,,swinging_strike,,,,,14,Swinging Strike,R,L,R,STL,NYM,S,,,0,0,2026,0.29,-1.31,0.3086667772944071,1.1571097660329022,665742,,666182,1,6,Top,,,,,,,3.375336741312896,-120.88514229697795,-2.2122803528763617,2.1253951617313147,25.488310915823405,-44.74674786505188,3.280561024,1.655610236,,,,82.5,2663,6.1,823077,671056,676475,802139,602104,691026,701675,687363,691023,54.4,,,,,,,,45,1,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,18,0.014,-0.041,78.1,8.0,,0.041,,2,-2,0.687,0.31299999999999994,26,30,26,31,1,2,,1,1,1,4.64,-0.29,0.29,52.2,17.351580433570017,-18.555778589034357,34.72984421086362,35.64069692311588,35.69221045345155
