"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
EP,2026-04-04,46.6,-1.77,6.55,"Baty, Brett",683146,683766,,called_strike,,,,,12,Called Strike,R,L,R,SF,NYM,S,,,0,0,2026,1.22,0.23,1.0551524546799145,2.7513793685744865,,,,0,9,Top,,,,,,,2.1502019816310307,-67.17517296755187,6.779966180205712,3.38843172199498,8.407492605285915,-32.577490398672325,3.327952756,1.679527559,,,,44.9,1419,5,823239,691740,666464,650333,656305,642715,671218,666931,808982,55.46,,,,,,,,69,1,Eephus,0,9,9,0,9,0,9,0,Infield shade,Standard,95,0,-0.039,,,,0.039,,-9,9,0.001,0.999,28,26,28,27,1,4,,1,,3,10.6,-1.22,1.22,50.1,,,,,
SL,2026-04-04,86.7,-2.59,6.03,"Lindor, Francisco",596019,668873,,swinging_strike,,,,,9,Swinging Strike,R,L,R,SF,NYM,S,,,0,0,2026,0.6,0.12,0.5727656731579306,2.022823367057996,,,,0,8,Top,,,,,,,6.231834475918139,-126.16656503246263,-3.4824389722936218,5.353323617466391,23.318941533148926,-30.39699880079201,3.107668963,1.568356299,,,,87.6,2603,6.6,823239,691740,666464,650333,656305,642715,671218,666931,808982,53.87,,,,,,,,63,1,Slider,0,9,9,0,9,0,9,0,Standard,Standard,118,0,-0.039,50.9,6.3,,0.039,,-9,9,0.001,0.999,29,32,29,33,1,4,1,1,2,1,2.89,-0.6,0.6,45.0,1.4004373650664745,16.309367840688445,35.03279871943594,26.509745539858997,19.53679230295086
SL,2026-04-04,87.1,1.02,5.76,"Taylor, Tyrone",621438,621366,,foul,,,,,4,Foul,R,R,L,SF,NYM,S,,,0,0,2026,0.07,0.22,-0.8203857459618774,2.399263569498912,683146,,668901,2,5,Top,,,,,,,-4.523902338594795,-126.91232506393901,-2.212702933291691,1.6253162835566277,24.855815201804862,-29.52817297247397,3.231414042,1.630807087,14,100,-10,87.6,2219,6.4,823239,672275,666464,650333,656305,642715,671218,664056,808982,54.06,,,,,,,,40,1,Slider,0,5,5,0,5,0,5,0,Infield shade,Standard,120,0.002,-0.035,78.8,8.0,,0.035,100.0,-5,5,0.064,0.9359999999999999,32,32,32,32,1,0,3,1,2,1,2.76,0.07,-0.07,28.0,19.43636377096889,-30.231634538274367,32.0277068079354,26.351274986268514,39.51936570892907
SI,2026-04-04,94.6,-1.67,5.14,"Lindor, Francisco",596019,694738,,called_strike,,,,,1,Called Strike,R,L,R,SF,NYM,S,,,0,0,2026,-1.54,0.43,-0.46124455534418485,2.7113628751555705,,,,0,1,Top,,,,,,,6.636420563919618,-137.72295374645446,-1.456887156933492,-21.110384673816203,29.982564461012615,-26.621506632998617,3.107668963,1.568356299,,,,95,2100,6.4,823239,672275,666464,650333,656305,642715,671218,664056,808982,54.06,,,,,,,,1,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,234,0.003,-0.039,,,,0.039,,0,0,0.5,0.5,27,32,28,33,1,0,5,1,6,1,2.11,1.54,-1.54,18.2,,,,,
FS,2026-04-04,88.9,-1.49,6.19,"Baty, Brett",683146,676775,,ball,,,,,13,Ball,R,L,R,SF,NYM,B,,,0,0,2026,-1.31,-0.13,-0.055586760859241524,1.4407231435159265,,,,0,7,Top,,,,,,,6.201490537617947,-129.29637504081046,-5.035134724472161,-15.967334313567632,25.72595697922713,-32.81706700620985,3.327952756,1.679527559,,,,88.2,1441,5.8,823239,672275,666464,650333,656305,642715,671218,664056,808982,54.71,,,,,,,,53,1,Split-Finger,0,8,8,0,8,0,8,0,Strategic,Standard,253,0,0.041,,,,-0.041,,-8,8,0.004,0.996,28,26,28,27,1,3,5,1,1,3,3.01,1.31,-1.31,38.6,,,,,
FF,2026-04-04,97,-1.61,6.21,"Baty, Brett",683146,676775,double,hit_into_play,,,,,6,"Giants challenged (tag play), call on the field was upheld: Brett Baty doubles (2) on a ground ball to left fielder Heliot Ramos.",R,L,R,SF,NYM,X,7,ground_ball,1,0,2026,-0.96,1.3,0.6536371986021527,2.7007720230340344,,,,0,7,Top,60.79,125.29,,,,,8.121729531479682,-140.89778939443835,-6.57361893188175,-14.571051075604528,32.047524199855175,-13.549551420272932,3.327952756,1.679527559,38,76,-1,96.3,2404,6,823239,672275,666464,650333,656305,642715,671218,664056,808982,54.53,0.083,0.08,1.25,1,1,1,2,53,2,4-Seam Fastball,0,8,8,0,8,0,8,0,Infield shade,Standard,227,-0.001,0.675,67.7,5.9,0.102,-0.675,88.0,-8,8,0.004,0.996,28,26,28,27,1,3,5,1,1,3,1.13,0.96,-0.96,38.3,-11.17387265057574,31.134927993980302,42.73452626069899,29.43642773419937,14.52589937243548
CU,2026-04-04,75.7,-1.81,5.61,"Lindor, Francisco",596019,694738,,ball,,,,,13,Ball,R,L,R,SF,NYM,B,,,0,1,2026,1.58,-0.8,-2.1900752564133414,1.5832365287677854,,,,0,1,Top,,,,,,,-3.603895426409614,-110.13645611277778,0.4631362845525333,13.441899357652968,22.425060260742416,-38.92748108671147,3.107668963,1.568356299,,,,74.5,3007,5.8,823239,672275,666464,650333,656305,642715,671218,664056,808982,54.73,,,,,,,,1,2,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,49,-0.002,0.031,,,,-0.031,,0,0,0.503,0.497,27,32,28,33,1,0,5,1,6,1,4.82,-1.58,1.58,26.2,,,,,
FF,2026-04-04,97,-2.69,6,"Lindor, Francisco",596019,668873,,foul,,,,,1,Foul,R,L,R,SF,NYM,S,,,0,1,2026,-0.65,1.54,-0.8058238931970605,2.9767291512063405,,,,0,8,Top,,,,,,,6.494760838346148,-141.0188111119204,-5.930351310915254,-10.165633171467938,32.511463971843376,-10.437117072572653,3.107668963,1.568356299,241,85.1,56,97.2,2391,6.5,823239,691740,666464,650333,656305,642715,671218,666931,808982,53.99,,,,,,,,63,2,4-Seam Fastball,0,9,9,0,9,0,9,0,Standard,Standard,205,0,-0.055,66.8,6.6,,0.055,88.0,-9,9,0.001,0.999,29,32,29,33,1,4,1,1,2,1,0.89,0.65,-0.65,45.4,5.413978813402815,20.13890547293384,25.060025888840297,44.08805643752372,15.746056686397262
SI,2026-04-04,93.6,1.13,5.87,"Taylor, Tyrone",621438,621366,,ball,,,,,12,Ball,R,R,L,SF,NYM,B,,,0,1,2026,1.49,0.78,1.449797401590494,3.577706863975432,683146,,668901,2,5,Top,,,,,,,-2.525654228625869,-136.27225097605844,-1.7562659763991757,19.106006079136186,29.97919476805428,-22.30880874050859,3.231414042,1.630807087,,,,93.8,2295,6.4,823239,672275,666464,650333,656305,642715,671218,664056,808982,54.11,,,,,,,,40,2,Sinker,0,5,5,0,5,0,5,0,Infield shade,Standard,129,-0.001,0.007,,,,-0.007,,-5,5,0.066,0.9339999999999999,32,32,32,32,1,0,3,1,2,1,1.82,1.49,-1.49,29.3,,,,,
EP,2026-04-04,44.4,-1.71,6.67,"Baty, Brett",683146,683766,field_out,hit_into_play,,,,,9,Brett Baty flies out to center fielder Jared Oliva.,R,L,R,SF,NYM,X,8,fly_ball,0,1,2026,0.77,-0.25,0.7162095819111629,2.0129515021399254,,,,0,9,Top,116.97,52.62,,,,,2.0441535165754394,-63.866365213979705,7.137492651493018,1.8317139314876125,7.651332653393693,-33.96817215042207,3.327952756,1.679527559,361,98,26,42.6,1383,5,823239,691740,666464,650333,656305,642715,671218,666931,808982,55.46,0.38,0.609,0,1,0,0,6,69,2,Eephus,0,9,9,0,9,0,9,0,Infield shade,Standard,79,0,-0.22,72.4,6.6,1.099,0.22,98.0,-9,9,0.001,0.999,28,26,28,27,1,4,,1,,3,12.25,-0.77,0.77,53.1,17.075678745021328,0.03119387863999363,43.87497637113225,28.74619226562969,39.02275614557601
