"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-10,91.7,-1.1,5.99,"Semien, Marcus",543760,643410,,ball,,,,,12,Ball,R,R,R,NYM,ATH,B,,,0,0,2026,-0.45,1.43,0.09620405040694124,3.529441978577304,,,,0,5,Bot,,,,,,,3.9835928976390793,-133.4498204155534,-3.29934645450253,-6.2454897567091745,30.96637742265129,-14.616454265615522,3.212106299,1.621062992,,,,92,1982,6.6,823643,669127,701762,643446,691777,805779,691016,672016,671732,53.87,,,,,,,,36,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,212,0.006,0.041,,,,-0.041,,-1,-1,0.415,0.415,35,35,35,36,1,1,3,1,1,1,1.3,0.45,0.45,46.6,,,,,
SI,2026-04-10,89.7,-2.43,5.23,"Lindor, Francisco",596019,605130,,blocked_ball,,,,,14,Ball In Dirt,R,L,R,NYM,ATH,B,,,0,0,2026,-1.39,0.58,0.9928320209935886,0.09250843229349281,,,701807,1,8,Bot,,,,,,,11.405231567890164,-129.93179818628622,-7.680353815552941,-18.166452277435432,27.222796597282166,-24.126357969257807,3.107668963,1.568356299,,,,90,2108,6.7,823643,669127,701762,643446,691777,805779,691016,672016,671732,53.76,,,,,,,,59,1,Sinker,0,1,0,1,1,0,0,1,Standard,Strategic,227,0.01,0.035,,,,-0.035,,-1,-1,0.316,0.316,33,32,34,33,1,3,2,1,2,1,2.28,1.39,-1.39,24.2,,,,,
FF,2026-04-10,98,-2.47,6.04,"Young, Jared",676724,665660,,ball,,,,,11,Ball,R,L,R,NYM,ATH,B,,,0,0,2026,-0.97,1.43,-1.313843801199499,4.418785695267927,,,,0,9,Bot,,,,,,,5.29331062291936,-142.5908831142318,-2.0378087163383123,-14.512901772745323,35.78214733832001,-12.524521385577607,3.280561024,1.655610236,,,,96.4,2421,5.6,823643,669127,701762,680869,691777,805779,691016,672016,671732,54.92,,,,,,,,67,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shade,Standard,225,0.002,0.041,,,,-0.041,,-4,-4,0.019,0.019,27,30,27,31,1,3,2,1,2,2,0.96,0.97,-0.97,26.3,,,,,
FF,2026-04-10,96.4,-2.43,5.58,"Lindor, Francisco",596019,678022,,foul,,,,,11,Foul,R,L,R,NYM,ATH,S,,,0,0,2026,-0.8,1.17,-0.26822424280257284,3.344219856977759,,,,0,6,Bot,,,,,,,7.487655351788372,-140.25569909427182,-2.957795033209535,-12.149569648244908,28.387226247145797,-16.138790426709626,3.107668963,1.568356299,204,89.7,63,96.6,2329,6.2,823643,669127,701762,643446,691777,805779,691016,672016,671732,54.33,,,,,,,,44,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,220,-0.006,-0.039,71.2,6.6,,0.039,89.7,-1,-1,0.396,0.396,26,32,27,33,1,2,,1,3,1,1.26,0.8,-0.8,33.7,9.254416604967558,8.976745809338498,26.632005541583805,38.1260917291525,25.076540834772615
FF,2026-04-10,94,-1.16,5.75,"Lindor, Francisco",596019,669372,,ball,,,,,11,Ball,R,L,R,NYM,ATH,B,,,0,0,2026,-0.27,1.13,-0.12717320495181655,3.8695482902333165,,,,0,1,Bot,,,,,,,3.2755897352097167,-136.85392645949,-1.5436833811772406,-4.071886141677205,30.69335619998073,-17.80662316013887,3.107668963,1.568356299,,,,94.7,1972,6.7,823643,669127,701762,643446,691777,805779,691016,672016,671732,53.8,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220,0.003,0.041,,,,-0.041,,0,0,0.548,0.548,27,32,27,33,1,0,5,1,5,1,1.45,0.27,-0.27,47.3,,,,,
SI,2026-04-10,90.5,-2.46,5.13,"Lindor, Francisco",596019,605130,,swinging_strike,,,,,8,Swinging Strike,R,L,R,NYM,ATH,S,,,1,0,2026,-1.48,0.47,0.1462525862087194,1.6312285950260903,,,701807,1,8,Bot,,,,,,,9.714088149440439,-131.337785885367,-3.5567734360449412,-19.25671446278441,29.065875747762064,-26.115404577521826,3.107668963,1.568356299,,,,91,2111,6.9,823643,669127,701762,643446,691777,805779,691016,672016,671732,53.64,,,,,,,,59,2,Sinker,0,1,0,1,1,0,0,1,Standard,Strategic,219,-0.014,-0.056,76.5,8.9,,0.056,,-1,-1,0.326,0.326,33,32,34,33,1,3,2,1,2,1,2.34,1.48,-1.48,25.0,33.69015923975555,-41.05288082501719,38.299739196015636,33.58568112258379,53.44542989418985
FC,2026-04-10,92.6,-2.37,5.53,"Lindor, Francisco",596019,678022,,ball,,,,,12,Ball,R,L,R,NYM,ATH,B,,,0,1,2026,0.28,0.43,0.6531274565187446,3.316940339727643,,,,0,6,Bot,,,,,,,6.97414742306094,-134.724315193303,-0.63183642839263,1.954715244822999,28.921017411517884,-26.956933746436096,3.107668963,1.568356299,,,,92.4,2472,6.2,823643,669127,701762,643446,691777,805779,691016,672016,671732,54.33,,,,,,,,44,2,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,151,0.004,0.031,,,,-0.031,,-1,-1,0.39,0.39,26,32,27,33,1,2,,1,3,1,2.22,-0.28,0.28,35.1,,,,,
FF,2026-04-10,93.7,-1.17,5.68,"Lindor, Francisco",596019,669372,,ball,,,,,12,Ball,R,L,R,NYM,ATH,B,,,1,0,2026,-0.38,1.08,0.8739638854426659,3.211269932099264,,,,0,1,Bot,,,,,,,6.1329752462342935,-136.36831206784805,-2.9283682110525255,-6.097220086552558,29.860283513566042,-18.240785066078395,3.107668963,1.568356299,,,,94.6,2073,6.8,823643,669127,701762,643446,691777,805779,691016,672016,671732,53.72,,,,,,,,5,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0.007,0.077,,,,-0.077,,0,0,0.551,0.551,27,32,27,33,1,0,5,1,5,1,1.51,0.38,-0.38,48.9,,,,,
FF,2026-04-10,96.5,-2.37,5.85,"Young, Jared",676724,665660,,ball,,,,,11,Ball,R,L,R,NYM,ATH,B,,,1,0,2026,-1.08,1.37,-1.3175769492507332,3.2130243949625994,,,,0,9,Bot,,,,,,,5.214122576210054,-140.42119398811266,-4.346472694424776,-15.513968859091973,33.917291907447684,-13.336830453159802,3.280561024,1.655610236,,,,95.3,2484,5.7,823643,669127,701762,680869,691777,805779,691016,672016,671732,54.78,,,,,,,,67,2,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shade,Standard,227,0.005,0.077,,,,-0.077,,-4,-4,0.021,0.021,27,30,27,31,1,3,2,1,2,2,1.09,1.08,-1.08,24.1,,,,,
FF,2026-04-10,92.5,-1.04,5.78,"Semien, Marcus",543760,643410,,ball,,,,,14,Ball,R,R,R,NYM,ATH,B,,,1,0,2026,-0.53,1.38,1.1594147265374928,2.2106290486041793,,,,0,5,Bot,,,,,,,6.766864104936951,-134.55642496838237,-6.196651382283029,-7.889191537797521,28.470541912730496,-14.220993047567077,3.212106299,1.621062992,,,,93.2,1972,6.7,823643,669127,701762,643446,691777,805779,691016,672016,671732,53.83,,,,,,,,36,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,214,0.011,0.077,,,,-0.077,,-1,-1,0.421,0.421,35,35,35,36,1,1,3,1,1,1,1.28,0.53,0.53,46.1,,,,,
