"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-04-15,96.9,-2.67,6.37,"Alvarez, Francisco",682626,595014,,called_strike,,,,,1,Called Strike,R,R,R,LAD,NYM,S,,,0,0,2026,-1.41,0.62,-0.6672089750980057,2.7468183859837176,,,,0,7,Top,,,,,,,8.42667986424801,-140.90229182934831,-5.314578647011499,-20.643469888899148,30.981157758668854,-22.89958241621805,3.120833333,1.575,,,,95.9,2334,5.7,823963,669257,518692,690976,571970,808975,606192,681624,663656,54.81,,,,,,,,49,1,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,231,0.005,-0.039,,,,0.039,,2,-2,0.815,0.18500000000000005,38,24,38,25,1,2,1,1,4,2,1.81,1.41,1.41,42.7,,,,,
FF,2026-04-15,96.7,2.94,5.19,"Pham, Tommy",502054,656945,,called_strike,,,,,6,Called Strike,R,R,L,LAD,NYM,S,,,0,0,2026,0.56,1.4,0.4203771679906181,2.472081259186339,,,,0,8,Top,,,,,,,-7.91886155998316,-140.54372915433288,-4.742017169254679,9.21050970478332,31.625500179633637,-12.700472239036744,3.272662402,1.651624016,,,,96.5,2637,6.2,823963,669257,518692,690976,571970,808975,606192,681624,663656,54.26,,,,,,,,57,1,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,144,0.006,-0.039,,,,0.039,,2,-2,0.862,0.138,31,38,32,38,1,2,2,2,,2,1.04,0.56,-0.56,30.5,,,,,
FF,2026-04-15,96.9,-2.2,5.66,"Lindor, Francisco",596019,660271,,ball,,,,,11,Ball,R,L,R,LAD,NYM,B,,,0,0,2026,-0.52,1.12,-1.6518219886839114,3.5994007425863432,,,,0,1,Top,,,,,,,2.6806268241602016,-141.2269470893647,-2.4401337340717406,-7.588984812202196,30.8992348604681,-16.776999568093707,3.107668963,1.568356299,,,,97.6,2345,6.5,823963,669257,518692,690976,571970,808975,606192,681624,663656,54,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,214,-0.004,0.041,,,,-0.041,,0,0,0.5,0.5,31,32,32,33,1,0,7,1,,2,1.29,0.52,-0.52,30.5,,,,,
FF,2026-04-15,96.8,-1.34,5.71,"Baty, Brett",683146,669165,,ball,,,,,11,Ball,R,L,R,LAD,NYM,B,,,0,0,2026,-0.82,1.18,-0.6855534774134346,3.971533723448931,,,,0,9,Top,,,,,,,3.63076578784297,-140.97292390024305,-1.6895544495831347,-11.801673859817658,32.39364070155091,-16.250008743323,3.327952756,1.679527559,,,,97,1983,6.4,823963,669257,518692,690976,571970,808975,606192,681624,663656,54.12,,,,,,,,69,1,4-Seam Fastball,8,1,1,8,1,8,1,8,Strategic,Standard,214,0,0.041,,,,-0.041,,7,-7,0.999,0.0010000000000000009,28,26,28,27,1,3,,1,4,2,1.25,0.82,-0.82,43.4,,,,,
SI,2026-04-15,97.7,-2.7,6.35,"Alvarez, Francisco",682626,595014,,foul,,,,,2,Foul,R,R,R,LAD,NYM,S,,,0,1,2026,-1.54,0.65,-0.21202683309638193,2.7366062911958107,,,,0,7,Top,,,,,,,10.1379339483859,-141.94963823437323,-5.501704669924031,-23.184415772544114,31.487177414089327,-22.311154857501403,3.120833333,1.575,246,81,43,97,2337,5.9,823963,669257,518692,690976,571970,808975,606192,681624,663656,54.62,,,,,,,,49,2,Sinker,3,1,1,3,1,3,1,3,Standard,Standard,229,0.009,-0.055,70.2,6.2,,0.055,88.0,2,-2,0.82,0.18000000000000005,38,24,38,25,1,2,1,1,4,2,1.74,1.54,1.54,35.5,-6.551386397616901,26.61775195454663,27.578314340825397,35.241233683409405,12.626105706100644
FF,2026-04-15,96.4,-1.22,5.7,"Baty, Brett",683146,669165,,swinging_strike,,,,,6,Swinging Strike,R,L,R,LAD,NYM,S,,,1,0,2026,-0.85,1.41,0.49412766398624186,2.7253835248913028,,,,0,9,Top,,,,,,,6.507873407258274,-140.23440946108695,-5.445068859615377,-12.714057503578418,30.886233633594472,-12.466021972207361,3.327952756,1.679527559,,,,97,2173,6.6,823963,669257,518692,690976,571970,808975,606192,681624,663656,53.94,,,,,,,,69,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Infield shade,Standard,217,0,-0.05,72.4,6.0,,0.05,,7,-7,0.999,0.0010000000000000009,28,26,28,27,1,3,,1,4,2,1.04,0.85,-0.85,43.2,-14.505004866298071,31.347337230059395,42.78495103681218,30.93396909256971,15.14332024811206
FF,2026-04-15,95.9,-2.07,5.63,"Lindor, Francisco",596019,660271,,swinging_strike,,,,,12,Swinging Strike,R,L,R,LAD,NYM,S,,,1,0,2026,-0.37,1.23,0.015874948857136306,3.575011583873871,,,,0,1,Top,,,,,,,6.338344918901503,-139.65650081794527,-2.535053576243574,-6.2484980754814385,30.234535215128247,-15.649059248709056,3.107668963,1.568356299,,,,96.8,2305,6.7,823963,669257,518692,690976,571970,808975,606192,681624,663656,53.83,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,215,0.005,-0.05,73.1,6.7,,0.05,,0,0,0.496,0.504,31,32,32,33,1,0,7,1,,2,1.23,0.37,-0.37,31.1,10.68562992030382,6.754775044468849,30.71404259339142,32.353046143352685,23.546474536937694
SL,2026-04-15,90.9,2.89,5.1,"Pham, Tommy",502054,656945,field_out,hit_into_play,,,,,8,"Tommy Pham grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,L,LAD,NYM,X,5,ground_ball,0,1,2026,-0.46,0.33,0.023822477878706005,2.1072389176532402,,,,0,8,Top,115.53,173.21,,,,,-6.094194618853151,-132.3513625420295,-2.1437213318108315,-4.198495239103208,27.033992415028106,-28.017265576226063,3.272662402,1.651624016,2,78.5,-47,91.1,2559,6.3,823963,669257,518692,690976,571970,808975,606192,681624,663656,54.21,0.101,0.091,0,1,0,0,2,57,2,Slider,3,1,1,3,1,3,1,3,Standard,Standard,225,0.032,-0.22,65.0,6.7,0.102,0.22,88.0,2,-2,0.868,0.132,31,38,32,38,1,2,2,2,,2,2.41,-0.46,0.46,30.4,11.388172612629969,17.36734751904658,28.86239299347292,36.82635008168384,23.542721533110885
ST,2026-04-15,86.1,-2.87,6.31,"Alvarez, Francisco",682626,595014,field_out,hit_into_play,,,,,14,"Francisco Alvarez grounds out, second baseman Alex Freeland to first baseman Freddie Freeman.",R,R,R,LAD,NYM,X,4,ground_ball,0,2,2026,1.06,0.06,1.3036098261310072,2.2837358415880042,,,,0,7,Top,139.74,153.23,,,,,7.482791282516957,-125.18006418797448,-3.15043966694145,9.564568012286156,26.321049328998818,-31.113679795963602,3.120833333,1.575,9,84.4,-14,85,2623,5.7,823963,669257,518692,690976,571970,808975,606192,681624,663656,54.8,0.089,0.08,0,1,0,0,2,49,3,Sweeper,3,1,1,3,1,3,1,3,Standard,Standard,44,0.02,-0.165,67.4,7.4,0.092,0.165,88.0,2,-2,0.829,0.17100000000000004,38,24,38,25,1,2,1,1,4,2,3.03,-1.06,-1.06,34.1,9.49811394857342,12.901032964709081,23.60096477138054,52.68859319035688,19.35330425212359
CU,2026-04-15,73.2,-1.75,6.29,"Lindor, Francisco",596019,660271,,ball,,,,,11,Ball,R,L,R,LAD,NYM,B,,,1,1,2026,1.26,-1.12,-0.8292085460713317,2.9670082769962303,,,,0,1,Top,,,,,,,-0.3892394391115315,-106.4807065085467,2.8631854035215296,9.633370803850584,19.38715734371477,-41.40019930938642,3.107668963,1.568356299,,,,72.9,2552,6.2,823963,669257,518692,690976,571970,808975,606192,681624,663656,54.25,,,,,,,,1,3,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,37,-0.005,0.055,,,,-0.055,,0,0,0.501,0.499,31,32,32,33,1,0,7,1,,2,5.4,-1.26,1.26,42.8,,,,,
