"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2026-04-18,97,-1.63,6.3,"Vientos, Mark",668901,676962,,called_strike,,,,,4,Called Strike,R,R,R,CHC,NYM,S,,,0,0,2026,-1.38,1.07,-0.5322985339645068,2.474186040082121,,,,0,7,Top,,,,,,,6.160363210789665,-141.0006543390323,-6.985141679214416,-19.85127874030102,32.3250398914236,-16.44327170963049,3.340239501,1.685728347,,,,97.5,2280,6.7,824694,665804,683737,663538,608324,621020,664023,691718,673548,53.84,,,,,,,,50,1,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,215,0.004,-0.039,,,,0.039,,3,-3,0.893,0.10699999999999998,26,26,27,27,1,2,3,1,,1,1.36,1.38,1.38,38.5,,,,,
SL,2026-04-18,87.4,0.03,6.06,"Pham, Tommy",502054,573204,,foul,,,,,7,Foul,R,R,L,CHC,NYM,S,,,0,0,2026,-0.55,0.27,-0.4805520399418538,1.6249175796498014,,,,0,9,Top,,,,,,,-0.07051964747072045,-127.47961396797514,-4.971750889754184,-6.078056054517409,21.809379647550713,-28.53235557176817,3.272662402,1.651624016,1,62,-51,88,2273,6.1,824694,665804,683737,663538,608324,621020,664023,691718,673548,54.37,,,,,,,,67,1,Slider,4,2,2,4,2,4,2,4,Standard,Standard,212,0.006,-0.039,69.8,7.1,,0.039,88.0,2,-2,0.924,0.07599999999999996,39,38,39,38,1,0,4,1,1,,2.66,-0.55,0.55,54.8,8.908881821539739,2.6857538470799485,34.625281465727326,32.72787317261545,30.78661346675798
FF,2026-04-18,91.8,-1.26,6.08,"Benge, Carson",701807,592791,,ball,,,,,4,Ball,R,L,R,CHC,NYM,B,,,0,0,2026,-0.44,1.74,-0.7921991105039716,2.359843484468735,,,,0,1,Top,,,,,,,2.158977095088945,-133.41040012516115,-7.1449615940526945,-5.754931304777714,31.20679268704721,-10.12570223005615,3.259498032,1.644980315,,,,92.2,2394,6.8,824694,665804,683737,663538,608324,621020,664023,691718,673548,53.72,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,202,-0.004,0.041,,,,-0.041,,0,0,0.5,0.5,34,23,35,23,1,0,6,1,,1,0.99,0.44,-0.44,42.0,,,,,
CU,2026-04-18,77.7,-0.12,6.12,"Pham, Tommy",502054,573204,,foul,,,,,14,Foul,R,R,L,CHC,NYM,S,,,0,1,2026,-0.85,-1.19,0.04481099796344856,1.478511705122365,,,,0,9,Top,,,,,,,1.9200331100522292,-113.10587735064294,-0.5046338651393738,-7.585530305332992,22.655274448602967,-42.42897219260441,3.272662402,1.651624016,2,71,-43,77.3,2586,6.2,824694,665804,683737,663538,608324,621020,664023,691718,673548,54.31,,,,,,,,67,2,Curveball,4,2,2,4,2,4,2,4,Standard,Standard,332,0.01,-0.055,67.9,8.3,,0.055,88.0,2,-2,0.93,0.06999999999999995,39,38,39,38,1,0,4,1,1,,4.99,-0.85,0.85,59.8,21.905546490743703,-17.377659018919967,28.783762493525206,40.38523402362604,45.27714777841831
KC,2026-04-18,87,-1.43,6.39,"Vientos, Mark",668901,676962,,ball,,,,,14,Ball,R,R,R,CHC,NYM,B,,,0,1,2026,0.16,-0.44,1.300370232245619,-0.8193442420130159,,,,0,7,Top,,,,,,,6.16951088128851,-126.3680350039069,-9.875974987446073,0.4422992199979331,25.5950908312158,-35.06027874944888,3.340239501,1.685728347,,,,87.4,2416,6.6,824694,665804,683737,663538,608324,621020,664023,691718,673548,53.88,,,,,,,,50,2,Knuckle Curve,4,1,1,4,1,4,1,4,Standard,Standard,62,-0.003,0.031,,,,-0.031,,3,-3,0.897,0.10299999999999998,26,26,27,27,1,2,3,1,,1,3.46,-0.16,-0.16,41.5,,,,,
FF,2026-04-18,92.2,-1.27,6.03,"Benge, Carson",701807,592791,,ball,,,,,13,Ball,R,L,R,CHC,NYM,B,,,1,0,2026,-0.61,1.77,-0.893376002195104,2.3474514042195755,,,,0,1,Top,,,,,,,2.310922106616876,-134.0740870485259,-7.220327186813575,-7.8618601361848395,31.734062346856128,-9.528011748285474,3.259498032,1.644980315,,,,92.5,2397,6.7,824694,665804,683737,663538,608324,621020,664023,691718,673548,53.76,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,202,-0.007,0.077,,,,-0.077,,0,0,0.496,0.504,34,23,35,23,1,0,6,1,,1,0.94,0.61,-0.61,40.2,,,,,
SI,2026-04-18,97.5,-1.52,6.34,"Vientos, Mark",668901,676962,field_out,hit_into_play,,,,,1,Mark Vientos flies out to center fielder Pete Crow-Armstrong.,R,R,R,CHC,NYM,X,8,fly_ball,1,1,2026,-1.2,1.09,-0.47611871088577784,3.417515422859853,,,,0,7,Top,145.59,96.84,,,,,5.587532363080317,-141.7230121220529,-4.659556561741294,-17.469986487498478,35.51789266843526,-16.583316225966254,3.340239501,1.685728347,261,91.2,55,97.4,2090,6.5,824694,665804,683737,663538,608324,621020,664023,691718,673548,54,0.009,0.008,0,1,0,0,3,50,3,Sinker,4,1,1,4,1,4,1,4,Standard,Standard,215,0.023,-0.251,75.1,7.2,0.01,0.251,91.2,3,-3,0.894,0.10599999999999998,26,26,27,27,1,2,3,1,,1,1.33,1.2,1.2,40.2,15.515062286121097,0.30212474515177357,25.313793966478013,33.404377902016456,29.033108076122815
FF,2026-04-18,92.5,-1.21,6.06,"Benge, Carson",701807,592791,,called_strike,,,,,7,Called Strike,R,L,R,CHC,NYM,S,,,2,0,2026,-0.49,1.75,-0.4683145443385232,1.6674930247517028,,,,0,1,Top,,,,,,,2.976882974840425,-134.42979793310354,-9.052801801112848,-6.612674295896863,30.795618925641204,-9.130512756706297,3.259498032,1.644980315,,,,92.9,2437,6.7,824694,665804,683737,663538,608324,621020,664023,691718,673548,53.78,,,,,,,,1,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205,0.007,-0.072,,,,0.072,,0,0,0.489,0.511,34,23,35,23,1,0,6,1,,1,0.93,0.49,-0.49,43.4,,,,,
FF,2026-04-18,94.9,0.14,6.19,"Pham, Tommy",502054,573204,,ball,,,,,12,Ball,R,R,L,CHC,NYM,B,,,0,2,2026,0.23,1.78,0.7075295788166738,4.751473924980013,,,,0,9,Top,,,,,,,0.955489078668483,-138.15755373483603,-1.9727137510922992,2.659033086829547,33.344166449029935,-9.260515039890201,3.272662402,1.651624016,,,,94.1,2302,6,824694,665804,683737,663538,608324,621020,664023,691718,673548,54.54,,,,,,,,67,3,4-Seam Fastball,4,2,2,4,2,4,2,4,Standard,Standard,169,-0.004,0.024,,,,-0.024,,2,-2,0.94,0.06000000000000005,39,38,39,38,1,0,4,1,1,,0.76,0.23,-0.23,53.3,,,,,
FF,2026-04-18,97,-1.53,6.3,"Baty, Brett",683146,676962,,ball,,,,,14,Ball,R,L,R,CHC,NYM,B,,,0,0,2026,-0.48,1.5,0.9235329039154229,2.11872112679693,,,,1,7,Top,,,,,,,7.625900684081837,-140.78527877877227,-8.892270283613522,-8.121607015224654,33.24262487456803,-10.349594408165718,3.327952756,1.679527559,,,,97.3,2211,6.7,824694,665804,683737,663538,608324,621020,664023,691718,673548,53.83,,,,,,,,51,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,211,-0.003,0.039,,,,-0.039,,3,-3,0.917,0.08299999999999996,26,26,27,27,1,2,3,1,,1,0.94,0.48,-0.48,43.5,,,,,
