"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-03-21,95.1,-2.08,5.69,"Robert Jr., Luis",673357,682610,,ball,,,,,14,Ball,S,R,R,NYM,HOU,B,,,0,0,2026,-0.57,1.06,0.8204664141336327,1.3418074898227557,,688875,593871,1,6,Bot,,,,,,,8.76290661790098,-138.06720793493585,-7.890067634380007,-9.253580226548468,29.87860379310691,-16.97053092229027,3.310400263,1.670669291,,,,94.6,2120,6.1,831549,673237,572233,670623,624523,669397,694388,805904,701358,54.43,,,,,,,,47,1,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Strategic,224,0.01,0.031,,,,-0.031,,-2,-2,0.329,0.329,26,28,26,29,1,2,,,,,1.46,0.57,0.57,,,,,,
FF,2026-03-21,94.6,-2.98,5.95,"Lindor, Francisco",596019,681347,,ball,,,,,13,Ball,S,L,R,NYM,HOU,B,,,0,0,2026,-0.59,1.58,-0.08210664432564674,0.6313646635526088,,,,0,1,Bot,,,,,,,8.752474259012438,-137.09837870023446,-11.39078844008006,-9.440463894551472,31.96564815805914,-9.739795414335644,3.107668963,1.568356299,,,,93.9,2198,6.2,831549,673237,572233,670623,624523,669397,694388,805904,701358,54.26,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,212,0.003,0.041,,,,-0.041,,0,0,0.548,0.548,26,32,27,33,1,0,,,,,1,0.59,-0.59,,,,,,
FF,2026-03-21,94.4,-1.89,5.62,"Lindor, Francisco",596019,678906,,ball,,,,,14,Ball,S,L,R,NYM,HOU,B,,,0,0,2026,-1.3,1.26,1.2072684037679242,1.155088283183806,,,,0,7,Bot,,,,,,,10.848910451235415,-136.81603275319733,-8.463980227787268,-18.707611501583443,30.71623323056058,-14.562640432610927,3.107668963,1.568356299,,,,93.9,2513,6.3,831549,673237,572233,680890,663445,690474,696264,694388,701358,54.22,,,,,,,,57,1,4-Seam Fastball,5,3,5,3,3,5,5,3,Infield shade,Standard,229,0.002,0.041,,,,-0.041,,2,2,0.887,0.887,27,32,28,33,1,3,,,,,1.32,1.3,-1.3,,,,,,
FF,2026-03-21,93.5,-1.68,5.92,"Polanco, Jorge",593871,703440,,called_strike,,,,,3,Called Strike,S,L,R,NYM,HOU,S,,,0,0,2026,-0.83,1.25,0.6702598719882435,2.918478282023017,,,,0,8,Bot,,,,,,,7.819108500294457,-135.77496399124686,-4.469629903638418,-12.13763556309127,33.67271294402565,-15.999050053160047,3.191043307,1.610433071,,,,92.6,1916,6.2,831549,673237,801039,680890,663445,690474,811718,809860,696264,54.34,,,,,,,,68,1,4-Seam Fastball,5,7,5,7,7,5,5,7,Infield shade,Standard,227,-0.007,-0.039,,,,0.039,,-2,-2,0.167,0.167,23,32,23,33,1,3,,,,,1.4,0.83,-0.83,,,,,,
CH,2026-03-21,83.7,-2.09,5.79,"Polanco, Jorge",593871,703440,field_out,hit_into_play,,,,,1,"Jorge Polanco grounds out softly, third baseman James Nelson to first baseman John Garcia.",S,L,R,NYM,HOU,X,5,ground_ball,0,1,2026,-1.44,0.73,-0.4924820449672884,3.208327013774237,,,,0,8,Bot,119.27,172.67,,,,,6.5040267731079435,-121.64954885133623,-0.7767009697757197,-15.58144512433486,25.20785579036073,-24.991598414634556,3.191043307,1.610433071,13,40.5,-10,83.3,1846,6.2,831549,673237,801039,680890,663445,690474,811718,809860,696264,54.31,,,0,,0,0,1,68,2,Changeup,5,7,5,7,7,5,5,7,Infield shade,Standard,265,-0.037,-0.22,,,,0.22,88.0,-2,-2,0.16,0.16,23,32,23,33,1,3,,,,,2.54,1.44,-1.44,,,,,,
FF,2026-03-21,96.4,-1.81,5.7,"Robert Jr., Luis",673357,682610,,swinging_strike,,,,,14,Swinging Strike,S,R,R,NYM,HOU,S,,,1,0,2026,-0.52,1.1,1.394451364494963,1.5130984497612836,,688875,593871,1,6,Bot,,,,,,,9.510379446366406,-139.97900661243918,-7.797191215101514,-8.894875663872526,30.299614255679657,-16.155610386972768,3.310400263,1.670669291,,,,95.8,2220,6,831549,673237,572233,670623,624523,669397,694388,805904,701358,54.55,,,,,,,,47,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Strategic,227,-0.014,-0.045,,,,0.045,,-2,-2,0.339,0.339,26,28,26,29,1,2,,,,,1.36,0.52,0.52,,,,,,
FF,2026-03-21,93.5,-2.87,5.96,"Lindor, Francisco",596019,681347,field_out,hit_into_play,,,,,8,Francisco Lindor grounds out to first baseman Christian Walker.,S,L,R,NYM,HOU,X,3,ground_ball,1,0,2026,-0.71,1.47,-0.10388419783010239,1.9591795734906199,,,,0,1,Bot,158.71,170.26,,,,,8.586303917813177,-135.69393284385936,-7.538736574592051,-10.748388676575058,31.76472474553051,-12.541001022541067,3.107668963,1.568356299,26,100.7,-3,92.8,2163,6.2,831549,673237,572233,670623,624523,669397,694388,805904,701358,54.3,,,0,,0,0,2,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,211,-0.025,-0.301,,,,0.301,100.7,0,0,0.551,0.551,26,32,27,33,1,0,,,,,1.17,0.71,-0.71,,,,,,
FF,2026-03-21,93.4,-1.97,5.57,"Lindor, Francisco",596019,678906,,called_strike,,,,,1,Called Strike,S,L,R,NYM,HOU,S,,,1,0,2026,-1.12,1.2,-0.6621765508652553,3.069522380390922,,,,0,7,Bot,,,,,,,5.791696270215455,-135.8219917116224,-3.1399371781515533,-15.100292844097853,31.428551437271363,-16.871692874250705,3.107668963,1.568356299,,,,92.8,2503,6.1,831549,673237,572233,680890,663445,690474,696264,694388,701358,54.42,,,,,,,,57,2,4-Seam Fastball,5,3,5,3,3,5,5,3,Infield shade,Standard,229,-0.003,-0.05,,,,0.05,,2,2,0.889,0.889,27,32,28,33,1,3,,,,,1.43,1.12,-1.12,,,,,,
FF,2026-03-21,93.6,-2.97,5.96,"Soto, Juan",665742,681347,,ball,,,,,11,Ball,S,L,R,NYM,HOU,B,,,0,0,2026,-0.78,1.26,-1.5251716241040778,2.995999639006495,,,,1,1,Bot,,,,,,,5.4056074448128015,-136.2152444494792,-4.517050446958794,-10.901921045537726,30.619310215263205,-15.72974694534952,3.259498032,1.644980315,,,,93.2,2147,6.1,831549,673237,572233,670623,624523,669397,694388,805904,701358,54.38,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,215,0.003,0.039,,,,-0.039,,0,0,0.526,0.526,26,27,27,28,1,0,,,,,1.35,0.78,-0.78,,,,,,
CH,2026-03-21,87.1,-1.9,5.58,"Lindor, Francisco",596019,678906,field_out,hit_into_play,,,,,7,Francisco Lindor grounds out to first baseman Christian Walker.,S,L,R,NYM,HOU,X,3,ground_ball,1,1,2026,-1.47,0.14,-0.3539035439958662,1.7485260289913498,,,,0,7,Bot,156.89,169.65,,,,,6.736694812587812,-126.59359639253161,-3.0281028656122086,-17.201601466164174,27.784537107493826,-30.21861346598884,3.107668963,1.568356299,28,89.6,-2,86.8,1407,6.3,831549,673237,572233,680890,663445,690474,696264,694388,701358,54.19,,,0,,0,0,2,57,3,Changeup,5,3,5,3,3,5,5,3,Infield shade,Standard,242,-0.01,-0.251,,,,0.251,89.6,2,2,0.886,0.886,27,32,28,33,1,3,,,,,2.89,1.47,-1.47,,,,,,
