"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-01,94.2,-1.33,6.11,"Baty, Brett",683146,700669,,called_strike,,,,,11,Called Strike,R,L,R,STL,NYM,S,,,0,0,2026,-0.67,1.21,-0.2987501125041654,3.46622829780527,665742,676724,673357,1,11,Top,,,,,,,4.145593501492853,-137.09894125003228,-3.6562832659733577,-9.345507854981523,32.35161416885552,-16.389130977972215,3.327952756,1.679527559,,,,93.9,1867,6.3,823078,686780,676475,802139,669357,691026,695336,687363,691023,54.23,,,,,,,,79,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,217,0.172,-0.05,,,,0.05,,0,0,0.282,0.718,26,26,26,27,1,2,1,1,2,2,1.38,0.67,-0.67,50.2,,,,,
ST,2026-04-01,76.4,3.72,4.98,"Alvarez, Francisco",682626,677865,,ball,,,,,13,Ball,R,R,L,STL,NYM,B,,,0,0,2026,-1.76,-0.05,-1.1477783365918515,1.6380076774605694,,543760,,0,10,Top,,,,,,,-6.90709339383379,-110.89978133777986,0.5940691284319066,-12.569177164388549,26.216671936710487,-33.00768291990911,3.120833333,1.575,,,,75.9,2560,6.8,823078,686780,676475,802139,669357,691026,695336,687363,691023,53.72,,,,,,,,69,1,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,305,0.162,0.032,,,,-0.032,,0,0,0.333,0.667,29,24,29,25,1,3,3,1,2,1,4.08,-1.76,1.76,29.6,,,,,
FF,2026-04-01,94.1,0.46,6.71,"Lindor, Francisco",596019,669461,,foul,,,,,8,Foul,R,R,L,STL,NYM,S,,,0,0,2026,0.47,1.64,-0.05504429852904774,1.4602457507702367,,,,0,1,Top,,,,,,,-2.3671840674317215,-136.57918860406588,-11.199642913556307,6.463052814809631,33.41002158079354,-9.313450529125276,3.107668963,1.568356299,,,,93.3,2062,6.2,823078,686780,676475,802139,669357,691026,695336,687363,701675,54.29,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,153,0.003,-0.039,70.5,8.6,,0.039,,0,0,0.5,0.5,26,32,27,33,1,0,6,1,6,1,0.97,0.47,-0.47,51.4,22.589474499161447,-20.023497381019645,34.3144490071313,31.92359723314504,39.019104753510675
FC,2026-04-01,89.1,-1.77,5.54,"Bichette, Bo",666182,688297,,ball,,,,,12,Ball,R,R,R,STL,NYM,B,,,0,0,2026,0.31,0.29,1.0301175527329014,3.2738223679106717,,665742,,0,11,Top,,,,,,,6.162100369752658,-129.57961823339093,0.06501738530065937,2.1955030849375206,27.806725076431793,-29.172200782395258,3.162081693,1.595816929,,,,89.6,1968,6.7,823078,686780,676475,802139,669357,691026,695336,687363,691023,53.8,,,,,,,,76,1,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,144,0.162,0.032,,,,-0.032,,0,0,0.333,0.667,29,28,29,28,1,4,3,1,2,1,2.59,-0.31,-0.31,26.1,,,,,
ST,2026-04-01,80.9,2.4,5.43,"Benge, Carson",701807,668941,,called_strike,,,,,5,Called Strike,R,L,L,STL,NYM,S,,,0,0,2026,-1.38,0.02,0.19651027174821722,2.2374665277833197,,673357,682626,2,7,Top,,,,,,,-2.1257313769290094,-117.73410331191123,-0.2475167068626677,-12.265122246929465,25.53983195550133,-32.15570279272718,3.259498032,1.644980315,,,,78.9,2582,5.2,823078,686780,676475,802139,669357,691026,695336,687363,701675,55.26,,,,,,,,51,1,Sweeper,1,1,1,1,1,1,1,1,Standard,Standard,307,0.012,-0.047,,,,0.047,,0,0,0.511,0.489,29,23,30,23,1,0,1,1,4,2,3.5,-1.38,-1.38,29.9,,,,,
SL,2026-04-01,89.6,-1.79,5.63,"Polanco, Jorge",593871,676617,double,hit_into_play,,,,,8,Jorge Polanco doubles (2) on a sharp line drive to right fielder Jordan Walker.,R,L,R,STL,NYM,X,9,line_drive,0,0,2026,0.28,0.24,-0.08115047911873391,1.9674023237409615,,,,0,9,Top,211.56,78.08,,,,,3.598518916047101,-130.3704466839741,-3.313817010406794,2.37511951914282,28.724132260659776,-28.97864480782475,3.191043307,1.610433071,364,103.5,20,90.1,2531,6.7,823078,686780,676475,802139,669357,691026,695336,687363,691023,53.8,0.543,0.713,1.25,1,1,1,5,61,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,175,-0.167,0.716,73.3,7.9,1.169,-0.716,103.5,0,0,0.5,0.5,31,32,31,33,1,3,1,2,4,1,2.61,-0.28,0.28,28.0,14.556003743861385,-15.40925810541636,31.109451775131507,37.78598544034343,33.79503534491697
FF,2026-04-01,96.8,-0.45,6.54,"Robert Jr., Luis",673357,592773,single,hit_into_play,,,,,2,Luis Robert Jr. singles on a sharp ground ball to left fielder Thomas Saggese.,R,R,R,STL,NYM,X,7,ground_ball,0,0,2026,-1.12,1.39,-0.2641143451623742,2.845100070581839,,,,0,7,Top,67.18,113.68,,,,,3.0569023979754224,-140.61172876458278,-7.109963267696031,-15.41748786004138,39.344192399256634,-12.339733704048756,3.310400263,1.670669291,131,112.4,6,95.1,2263,5.9,823078,686780,676475,802139,669357,691026,695336,687363,701675,54.58,0.689,0.645,0.9,1,1,0,4,47,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,218,-0.059,0.438,79.7,7.4,0.821,-0.438,112.4,0,0,0.5,0.5,34,28,35,29,1,2,1,1,4,1,1.1,1.12,1.12,48.1,13.138195902474784,-5.845450610748964,35.270591803155526,34.133958920146725,31.893194433728127
CH,2026-04-01,88.4,-1.72,5.89,"Baty, Brett",683146,700669,,ball,,,,,11,Ball,R,L,R,STL,NYM,B,,,0,1,2026,-1.04,0.04,-1.2412604803753675,2.7799645539564697,665742,676724,673357,1,11,Top,,,,,,,3.360827805344768,-128.63344743868888,-1.3142206594681567,-12.190061455441258,29.045604970452327,-31.683593785735127,3.327952756,1.679527559,,,,88.2,1161,6.4,823078,686780,676475,802139,669357,691026,695336,687363,691023,54.12,,,,,,,,79,2,Changeup,1,1,1,1,1,1,1,1,Strategic,Standard,248,-0.019,0.034,,,,-0.034,,0,0,0.454,0.546,26,26,26,27,1,2,1,1,2,2,2.9,1.04,-1.04,38.7,,,,,
CH,2026-04-01,80.9,3.65,4.83,"Alvarez, Francisco",682626,677865,fielders_choice_out,hit_into_play,,,,,9,"Francisco Alvarez reaches on a fielder's choice out, pitcher Justin Bruihl to second baseman JJ Wetherholt. Marcus Semien out at 3rd. Francisco Alvarez to 2nd.",R,R,L,STL,NYM,X,1,ground_ball,1,0,2026,1.18,-0.47,0.5689112812353279,1.606967048387351,,543760,,0,10,Top,115.32,159.79,,,,,-9.183415829498879,-117.3016232940484,0.8365468264566274,12.852720825827115,27.713290446810376,-36.960875288734066,3.120833333,1.575,9,103.2,-11,80.9,1525,7.1,823078,686780,676475,802139,669357,691026,695336,687363,691023,53.41,0.232,0.211,0,1,0,0,2,69,2,Changeup,1,1,1,1,1,1,1,1,Standard,Standard,110,0.114,-0.257,72.2,7.2,0.241,0.257,103.2,0,0,0.495,0.505,29,24,29,25,1,3,3,1,2,1,4.06,1.18,-1.18,22.5,1.6607561505748687,9.903980506319918,30.81853888493692,43.88183849046483,24.510072322780978
FS,2026-04-01,87.7,-0.73,6.17,"Baty, Brett",683146,592773,,ball,,,,,14,Ball,R,L,R,STL,NYM,B,,,0,0,2026,-1.25,0.03,0.6582720749200861,1.0693375472880486,,,673357,0,7,Top,,,,,,,5.887049259218851,-127.48402183201111,-5.95647156908012,-14.795946349079435,26.533546022617706,-30.849583593808426,3.327952756,1.679527559,,,,87.2,1289,6.1,823078,686780,676475,802139,669357,691026,695336,687363,701675,54.44,,,,,,,,48,1,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,243,-0.008,0.04,,,,-0.04,,0,0,0.441,0.5589999999999999,34,26,35,27,1,0,1,1,4,2,2.95,1.25,-1.25,41.6,,,,,
