"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
KC,2026-04-02,76.9,2.86,6.19,"Lindor, Francisco",596019,592662,,called_strike,,,,,9,Called Strike,R,R,L,SF,NYM,S,,,0,0,2026,-0.69,-0.71,0.4538311267190305,1.7058501075796881,,,,0,1,Top,,,,,,,-3.754302954279438,-111.95535613358992,-1.0057157084027895,-5.144217450172277,19.52354230144452,-38.1752098805966,3.107668963,1.568356299,,,,76.6,1938,6,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.54,,,,,,,,1,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,317,0.003,-0.039,,,,0.039,,0,0,0.5,0.5,34,32,35,33,1,0,6,1,5,1,4.55,-0.69,0.69,45.9,,,,,
ST,2026-04-02,83.3,-2.07,5.97,"Semien, Marcus",543760,694918,,called_strike,,,,,12,Called Strike,R,R,R,SF,NYM,S,,,0,0,2026,0.59,1.27,0.8964843260117412,2.7446856101885553,,,,0,7,Top,,,,,,,5.584473870993239,-121.13540636591028,-3.2719259232271414,4.671588544640547,24.38982253544603,-19.210822344244757,3.212106299,1.621062992,,,,83.7,2796,6.7,823242,691740,669477,650333,656305,642715,671218,664056,808982,53.83,,,,,,,,57,1,Sweeper,7,2,2,7,2,7,2,7,Infield shade,Standard,90,0.002,-0.039,,,,0.039,,5,-5,0.968,0.03200000000000003,25,35,25,36,1,2,,1,4,1,2.02,-0.59,-0.59,39.3,,,,,
SL,2026-04-02,82.2,-3.8,4.99,"Robert Jr., Luis",673357,676254,,called_strike,,,,,9,Called Strike,R,R,R,SF,NYM,S,,,0,0,2026,1.18,0.16,0.5551319825076267,1.587512806648773,,,,1,6,Top,,,,,,,7.401757260668174,-119.53840583577777,-1.206741730864315,9.62034276345952,25.28396131533032,-30.639478730414382,3.310400263,1.670669291,,,,81.7,2602,6.2,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.26,,,,,,,,51,1,Slider,6,2,2,6,2,6,2,6,Infield shade,Standard,65,0.002,-0.039,,,,0.039,,4,-4,0.935,0.06499999999999995,30,28,31,29,1,2,3,1,5,1,3.25,-1.18,-1.18,20.3,,,,,
SL,2026-04-02,83.2,-3.62,5.11,"Robert Jr., Luis",673357,676254,,ball,,,,,13,Ball,R,R,R,SF,NYM,B,,,0,1,2026,1.29,0.06,-0.10853391865115891,0.91171180208047,,,,1,6,Top,,,,,,,5.365105324497979,-120.93872428597336,-2.9400737329190445,11.257897288688515,27.340240929655458,-31.153400654738792,3.310400263,1.670669291,,,,82.7,2660,6.4,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.13,,,,,,,,51,2,Slider,6,2,2,6,2,6,2,6,Infield shade,Standard,68,-0.002,0.029,,,,-0.029,,4,-4,0.937,0.06299999999999994,30,28,31,29,1,2,3,1,5,1,3.28,-1.29,-1.29,19.5,,,,,
FF,2026-04-02,97.8,-1.71,6.24,"Semien, Marcus",543760,694918,,foul,,,,,1,Foul,R,R,R,SF,NYM,S,,,0,1,2026,-0.83,1.48,-0.5482283685194014,3.053183999105058,,,,0,7,Top,,,,,,,5.039783821845592,-142.16199754968954,-6.3351369940294155,-12.381533079156746,36.381900475164215,-10.843531108623088,3.212106299,1.621062992,171,71.2,62,97.7,2150,6.6,823242,691740,669477,650333,656305,642715,671218,664056,808982,53.92,,,,,,,,57,2,4-Seam Fastball,7,2,2,7,2,7,2,7,Infield shade,Standard,214,0.002,-0.055,61.9,6.4,,0.055,88.0,5,-5,0.97,0.030000000000000027,25,35,25,36,1,2,,1,4,1,0.93,0.83,0.83,43.1,4.683824890727775,11.537382542745743,34.61885843259055,25.538507484616808,22.81494594252482
FF,2026-04-02,92.3,2.75,6.29,"Lindor, Francisco",596019,592662,,ball,,,,,12,Ball,R,R,L,SF,NYM,B,,,0,1,2026,0.86,1.59,0.05296813315954918,3.865951442015088,,,,0,1,Top,,,,,,,-8.625300177113575,-134.06612509484347,-3.5834263392929797,12.307533820707162,31.865806071263442,-12.49437364679987,3.107668963,1.568356299,,,,91.4,2389,6.1,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.42,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,132,-0.002,0.031,,,,-0.031,,0,0,0.503,0.497,34,32,35,33,1,0,6,1,5,1,1.12,0.86,-0.86,45.5,,,,,
SL,2026-04-02,85.3,2.86,6.08,"Lindor, Francisco",596019,592662,,swinging_strike,,,,,13,Swinging Strike,R,R,L,SF,NYM,S,,,1,1,2026,-0.14,0.51,-0.8384710495703905,1.4615771442831478,,,,0,1,Top,,,,,,,-8.252165527963193,-123.89678092601496,-5.270286352893697,0.331371834681291,26.236259904123088,-26.006077306605235,3.107668963,1.568356299,,,,84.5,2114,6,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.48,,,,,,,,1,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,147,0.006,-0.061,75.5,8.6,,0.061,,0,0,0.501,0.499,34,32,35,33,1,0,6,1,5,1,2.65,-0.14,0.14,44.1,28.760894744736774,-37.78506227517031,39.11259113782715,24.40893139861786,47.11183839414093
SL,2026-04-02,83.2,-3.66,5.07,"Robert Jr., Luis",673357,676254,,ball,,,,,14,Ball,R,R,R,SF,NYM,B,,,1,1,2026,1.19,0.36,2.356539578990625,1.026664486762193,,,,1,6,Top,,,,,,,11.204250923098346,-120.56199880088941,-3.145494531373879,8.97176278350804,26.944704758815426,-28.199721976374825,3.310400263,1.670669291,,,,82.5,2699,6.4,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.08,,,,,,,,51,3,Slider,6,2,2,6,2,6,2,6,Infield shade,Standard,63,-0.002,0.055,,,,-0.055,,4,-4,0.935,0.06499999999999995,30,28,31,29,1,2,3,1,5,1,3,-1.19,-1.19,19.3,,,,,
ST,2026-04-02,85.9,-1.8,5.93,"Semien, Marcus",543760,694918,,ball,,,,,14,Ball,R,R,R,SF,NYM,B,,,0,2,2026,1.11,0.76,2.257276553959073,0.8077549730875577,,,,0,7,Top,,,,,,,7.2256154741016845,-124.85716012817691,-7.224125392590993,10.237914662715335,24.19426398939933,-22.943166107102453,3.212106299,1.621062992,,,,86.5,2746,6.7,823242,691740,669477,650333,656305,642715,671218,664056,808982,53.84,,,,,,,,57,3,Sweeper,7,2,2,7,2,7,2,7,Infield shade,Standard,85,-0.001,0.024,,,,-0.024,,5,-5,0.972,0.028000000000000025,25,35,25,36,1,2,,1,4,1,2.32,-1.11,-1.11,40.0,,,,,
ST,2026-04-02,84.5,-1.95,6.01,"Semien, Marcus",543760,694918,single,hit_into_play,,,,,12,Marcus Semien singles on a ground ball to shortstop Willy Adames.,R,R,R,SF,NYM,X,6,ground_ball,1,2,2026,1.25,0.39,1.0197224578152428,2.429889331661428,,,,0,7,Top,116.09,148.29,,,,,4.293858223136913,-122.99313319512682,-2.5464087420940773,11.787421816898357,25.710349773080207,-27.880652035478175,3.212106299,1.621062992,26,81.4,-3,84.8,2879,6.6,823242,691740,669477,650333,656305,642715,671218,664056,808982,53.91,0.14,0.126,0.9,1,1,0,2,57,4,Sweeper,7,2,2,7,2,7,2,7,Infield shade,Standard,68,-0.021,0.508,63.9,7.6,0.157,-0.508,88.0,5,-5,0.971,0.029000000000000026,25,35,25,36,1,2,,1,4,1,2.81,-1.25,-1.25,40.2,17.74908156359466,5.801309473224918,29.149182014497526,44.4755833867917,27.541674982340314
SI,2026-04-02,95,-3.63,4.88,"Robert Jr., Luis",673357,676254,,ball,,,,,12,Ball,R,R,R,SF,NYM,B,,,2,1,2026,-1.67,0.18,1.1942383981332407,2.640016315600888,,,,1,6,Top,,,,,,,16.237525508478686,-137.3578479318296,-0.3078417231645697,-24.968556625290717,33.11400001097111,-30.071699257045193,3.310400263,1.670669291,,,,94.4,2327,6.5,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.01,,,,,,,,51,4,Sinker,6,2,2,6,2,6,2,6,Infield shade,Standard,239,-0.006,0.121,,,,-0.121,,4,-4,0.933,0.06699999999999995,30,28,31,29,1,2,3,1,5,1,2.4,1.67,1.67,16.7,,,,,
FF,2026-04-02,94.2,2.54,6.27,"Lindor, Francisco",596019,592662,,foul,,,,,4,Foul,R,R,L,SF,NYM,S,,,1,2,2026,0.86,1.57,-0.7228685396743966,2.3221273029567358,,,,0,1,Top,,,,,,,-10.31468438834864,-136.5540442931706,-7.793413840282691,13.11297085966559,32.7078742141481,-10.96153932496143,3.107668963,1.568356299,183,75.4,18,93.9,2579,6.5,823242,691740,669477,650333,656305,642715,671218,664056,808982,53.98,,,,,,,,1,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,146,0,0,72.8,7.3,,0,88.0,0,0,0.507,0.493,34,32,35,33,1,0,6,1,5,1,1.04,0.86,-0.86,51.5,13.599200435096918,-6.953479486175026,37.823056774288055,24.506938259776337,29.241622716029514
SI,2026-04-02,95.2,-3.65,4.94,"Robert Jr., Luis",673357,676254,,called_strike,,,,,5,Called Strike,R,R,R,SF,NYM,S,,,3,1,2026,-1.38,0.47,0.08145609565506229,2.424758598987877,,,,1,6,Top,,,,,,,12.753374032749123,-137.96970693928017,-1.7754096559271795,-20.491449938983624,32.26828898324619,-25.938815225503646,3.310400263,1.670669291,,,,94.6,2241,6.3,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.21,,,,,,,,51,5,Sinker,6,2,2,6,2,6,2,6,Infield shade,Standard,227,0.005,-0.087,,,,0.087,,4,-4,0.927,0.07299999999999995,30,28,31,29,1,2,3,1,5,1,2.07,1.38,1.38,16.1,,,,,
FF,2026-04-02,94.2,-1.72,6.16,"Alvarez, Francisco",682626,694918,,swinging_strike,,,,,2,Swinging Strike,R,R,R,SF,NYM,S,,,0,0,2026,-0.56,1.46,-0.10922064804971343,2.819091844195215,,,543760,0,7,Top,,,,,,,5.439274607714363,-137.0589084099124,-6.110336817575099,-8.277701142861888,30.811458723236086,-12.597175177649346,3.120833333,1.575,,,,94.9,2126,6.7,823242,691740,669477,650333,656305,642715,671218,664056,808982,53.78,,,,,,,,58,1,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,209,0.003,-0.043,74.9,6.4,,0.043,,5,-5,0.95,0.050000000000000044,25,24,25,25,1,2,,1,4,1,1.11,0.56,0.56,46.6,-1.3161033669427962,21.087808528416158,26.961683607719152,35.96563907960236,14.692889583282234
SL,2026-04-02,83.7,2.87,6.07,"Lindor, Francisco",596019,592662,,ball,,,,,13,Ball,R,R,L,SF,NYM,B,,,1,2,2026,-0.18,0.47,-0.1761298142151365,0.6787501710788346,,,,0,1,Top,,,,,,,-6.573402255341025,-121.76704948437761,-6.779495591148711,-0.6567091532032634,20.584768641517158,-26.404006217905856,3.107668963,1.568356299,,,,84,2102,6.2,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.33,,,,,,,,1,5,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,151,-0.004,0.043,,,,-0.043,,0,0,0.507,0.493,34,32,35,33,1,0,6,1,5,1,2.74,-0.18,0.18,42.9,,,,,
SL,2026-04-02,85.3,2.84,6.23,"Lindor, Francisco",596019,592662,,ball,,,,,12,Ball,R,R,L,SF,NYM,B,,,2,2,2026,-0.26,0.6,1.1894845604507291,2.6247920009003978,,,,0,1,Top,,,,,,,-3.251950334445611,-124.21907994044416,-3.1883433117249074,-2.0766179719904243,24.708941957904877,-25.494035432890232,3.107668963,1.568356299,,,,84.4,2085,5.6,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.86,,,,,,,,1,6,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,174,-0.008,0.112,,,,-0.112,,0,0,0.503,0.497,34,32,35,33,1,0,6,1,5,1,2.52,-0.26,0.26,43.7,,,,,
ST,2026-04-02,84.7,-2,5.96,"Alvarez, Francisco",682626,694918,,ball,,,,,14,Ball,R,R,R,SF,NYM,B,,,0,1,2026,1.06,0.9,1.780766002238901,0.9792125125237765,,,543760,0,7,Top,,,,,,,6.571838398425832,-123.13307679266732,-6.890503011621429,9.623510682614292,23.224740914047377,-21.879901432976645,3.120833333,1.575,,,,85.2,2786,6.5,823242,691740,669477,650333,656305,642715,671218,664056,808982,53.96,,,,,,,,58,2,Sweeper,7,2,2,7,2,7,2,7,Standard,Standard,87,-0.002,0.034,,,,-0.034,,5,-5,0.953,0.04700000000000004,25,24,25,25,1,2,,1,4,1,2.27,-1.06,-1.06,37.5,,,,,
SI,2026-04-02,93.8,-3.59,4.83,"Robert Jr., Luis",673357,676254,strikeout,called_strike,,,,,9,"Daniel Susac challenged (pitch result), call on the field was overturned: Luis Robert Jr. called out on strikes.",R,R,R,SF,NYM,S,2,,3,2,2026,-1.6,0.24,0.7655613982278249,1.6106641144895661,,,,1,6,Top,,,,,,,14.678050413724833,-135.730628431722,-2.817633388391011,-23.20432758628897,32.43606607429208,-28.738484373062715,3.310400263,1.670669291,,,,93.2,2303,6.4,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.06,,0,0,1,0,0,,51,6,Sinker,6,2,2,6,2,6,2,6,Infield shade,Standard,236,0.013,-0.332,,,,0.332,,4,-4,0.932,0.06799999999999995,30,28,31,29,1,2,3,1,5,1,2.4,1.6,1.6,15.9,,,,,
SI,2026-04-02,95.3,-3.72,4.87,"Vientos, Mark",668901,676254,,called_strike,,,,,2,Called Strike,R,R,R,SF,NYM,S,,,0,0,2026,-1.36,0.19,-0.03046598040624482,3.234366409664549,,,,2,6,Top,,,,,,,12.658530328251008,-138.16728828621447,1.1070711405115934,-20.2735157778496,30.65406755350517,-30.28060251199319,3.340239501,1.685728347,,,,95.2,2299,6.4,823242,691740,669477,650333,656305,642715,671218,664056,808982,54.1,,,,,,,,52,1,Sinker,6,2,2,6,2,6,2,6,Infield shade,Standard,249,0.001,-0.043,,,,0.043,,4,-4,0.945,0.05500000000000005,30,26,31,27,1,2,3,1,5,1,2.34,1.36,1.36,17.0,,,,,
FF,2026-04-02,96.9,-1.59,6.3,"Alvarez, Francisco",682626,694918,,ball,,,,,12,Ball,R,R,R,SF,NYM,B,,,1,1,2026,-0.59,1.49,1.3645591839889861,3.420271806110143,,,543760,0,7,Top,,,,,,,9.198002318665734,-140.7959199624576,-5.411758487124333,-9.949336016563059,32.9329687802293,-11.320113983638892,3.120833333,1.575,,,,97.3,2182,6.7,823242,691740,669477,650333,656305,642715,671218,664056,808982,53.81,,,,,,,,58,3,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,210,-0.004,0.044,,,,-0.044,,5,-5,0.951,0.049000000000000044,25,24,25,25,1,2,,1,4,1,0.95,0.59,0.59,47.4,,,,,
