"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2026-04-08,92,-0.8,6.16,"Benge, Carson",701807,664199,,ball,,,,,11,Ball,R,L,R,NYM,AZ,B,,,0,0,2026,-0.54,1.09,-0.1766760636688005,3.768510215634912,,,,0,9,Bot,,,,,,,2.74785447743796,-133.92189030083966,-2.4015240749176385,-7.08936776983028,31.17058571973475,-18.782896460062023,3.259498032,1.644980315,,,,91.5,2231,6.1,823646,672515,699912,545121,571448,672695,694374,678489,682998,54.36,,,,,,,,76,1,Cutter,2,7,2,7,7,2,2,7,Strategic,Standard,209,0.001,0.041,,,,-0.041,,-5,-5,0.008,0.008,33,23,33,23,1,3,3,1,1,2,1.62,0.54,-0.54,38.9,,,,,
SI,2026-04-08,87.1,-3.93,3.72,"Semien, Marcus",543760,657044,,ball,,,,,13,Ball,R,R,R,NYM,AZ,B,,,0,0,2026,-1.12,-0.52,-0.8629081441017894,2.040367280208272,,673357,683146,2,6,Bot,,,,,,,9.651955138604599,-126.30643556361456,3.4981471541950953,-14.056733102578235,27.325100208634872,-38.712392051775225,3.212106299,1.621062992,,,,87.2,1951,6.7,823646,672515,699912,545121,571448,672695,694374,678489,682998,53.81,,,,,,,,52,1,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,263,0.003,0.024,,,,-0.024,,-4,-4,0.094,0.094,34,35,34,36,1,2,1,1,3,1,3.56,1.12,1.12,-11.1,,,,,
FF,2026-04-08,95.3,-0.43,6.13,"Benge, Carson",701807,694851,,ball,,,,,14,Ball,R,L,R,NYM,AZ,B,,,0,0,2026,-0.79,1.49,0.9964694341838494,2.200162433499527,,,,0,7,Bot,,,,,,,5.547503881242325,-138.4637624194444,-7.840949089788421,-11.478416173301596,33.15187382958972,-11.448348607382918,3.259498032,1.644980315,,,,95.4,2244,6.6,823646,672515,699912,545121,571448,672695,694374,678489,682998,53.92,,,,,,,,57,1,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,211,0.003,0.041,,,,-0.041,,-4,-4,0.071,0.071,26,23,26,23,1,2,6,1,5,2,1.04,0.79,-0.79,51.4,,,,,
FF,2026-04-08,95.7,-1.11,6.42,"Lindor, Francisco",596019,669194,,called_strike,,,,,6,Called Strike,R,L,R,NYM,AZ,S,,,0,0,2026,-0.06,1.83,0.5227521650041473,2.4989762558437674,,,,0,1,Bot,,,,,,,4.420520955529955,-139.0672991349334,-8.714680645614115,-1.7999619768716546,32.969673455146356,-6.654033788384959,3.107668963,1.568356299,,,,96.1,2155,6.7,823646,672515,699912,545121,571448,672695,694374,678489,682998,53.76,,,,,,,,6,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,192,-0.004,-0.039,,,,0.039,,-1,-1,0.448,0.448,28,32,28,33,1,0,6,1,5,1,0.68,0.06,-0.06,56.7,,,,,
FF,2026-04-08,94.6,-0.57,6.14,"Benge, Carson",701807,694851,,foul,,,,,5,Foul,R,L,R,NYM,AZ,S,,,1,0,2026,-0.46,1.54,-0.08934323561081492,2.488051681575383,,,,0,7,Bot,,,,,,,2.314062603729682,-137.65120909888705,-7.1124281054910075,-6.424869319866867,32.416321371300164,-11.2065311254311,3.259498032,1.644980315,192,72.5,39,94.9,2307,6.6,823646,672515,699912,545121,571448,672695,694374,678489,682998,53.91,,,,,,,,57,2,4-Seam Fastball,1,5,1,5,5,1,1,5,Standard,Standard,205,-0.004,-0.05,73.3,6.6,,0.05,88.0,-4,-4,0.074,0.074,26,23,26,23,1,2,6,1,5,2,1.02,0.46,-0.46,52.6,-2.5637847167477053,5.899618139525029,32.3686141416842,35.6481056734607,31.87280935379179
FF,2026-04-08,96.3,-1.13,6.37,"Lindor, Francisco",596019,669194,,called_strike,,,,,4,Called Strike,R,L,R,NYM,AZ,S,,,0,1,2026,-0.15,1.77,-0.6863889321172104,2.620011640738013,,,,0,1,Bot,,,,,,,1.514768571385078,-140.03778121757836,-8.258026997548228,-2.307506748740033,32.52250884657464,-7.1981027056938585,3.107668963,1.568356299,,,,96.7,2211,6.6,823646,672515,699912,545121,571448,672695,694374,678489,682998,53.85,,,,,,,,6,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,194,-0.006,-0.055,,,,0.055,,-1,-1,0.444,0.444,28,32,28,33,1,0,6,1,5,1,0.69,0.15,-0.15,54.4,,,,,
SI,2026-04-08,87.2,-3.86,3.74,"Semien, Marcus",543760,657044,,foul,,,,,8,Foul,R,R,R,NYM,AZ,S,,,1,0,2026,-1.16,-0.54,0.06791852561154066,1.503249564078379,,673357,683146,2,6,Bot,,,,,,,11.78997403124908,-126.30600801350135,2.2154630885917115,-14.923478515224089,27.033153873296587,-38.67672592882429,3.212106299,1.621062992,,,,87.3,1932,6.7,823646,672515,699912,545121,571448,672695,694374,678489,682998,53.76,,,,,,,,52,2,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,276,-0.005,-0.052,69.1,8.3,,0.052,,-4,-4,0.097,0.097,34,35,34,36,1,2,1,1,3,1,3.58,1.16,1.16,-10.7,21.606636160998345,-5.017583229934773,36.1116719129944,31.72066796100979,31.900741360329782
SI,2026-04-08,93.9,-0.61,6.14,"Benge, Carson",701807,664199,single,hit_into_play,,,,,5,Carson Benge singles on a ground ball to right fielder Corbin Carroll.,R,L,R,NYM,AZ,X,9,ground_ball,1,0,2026,-1.26,0.94,0.10319188489420528,2.343489352777892,,,,0,9,Bot,158.9,148.64,,,,,4.640821460942134,-136.52947230959404,-5.922565166091693,-16.710969666097235,32.6105023160146,-19.26677234337289,3.259498032,1.644980315,20,95.6,-6,93.3,2179,6.2,823646,672515,699912,545121,571448,672695,694374,678489,682998,54.32,0.295,0.272,0.9,1,1,0,2,76,2,Sinker,2,7,2,7,7,2,2,7,Standard,Standard,211,0.01,0.396,75.0,6.8,0.329,-0.396,95.6,-5,-5,0.009,0.009,33,23,33,23,1,3,3,1,1,2,1.67,1.26,-1.26,43.6,10.070396550570207,-8.152056008067524,30.47580441839101,35.55586510571044,38.819883420916256
SI,2026-04-08,94,-0.65,6.26,"Alvarez, Francisco",682626,664199,,ball,,,,,13,Ball,R,R,R,NYM,AZ,B,,,0,0,2026,-1.29,1.01,-1.5271341860594516,1.8791577599745584,,,701807,0,9,Bot,,,,,,,0.6753843646935773,-136.7360519054218,-7.581783136105357,-16.215275911330625,32.93008965049103,-18.015131730648303,3.120833333,1.575,,,,93.4,2084,6.2,823646,672515,699912,545121,571448,672695,694374,678489,682998,54.32,,,,,,,,77,1,Sinker,2,7,2,7,7,2,2,7,Standard,Standard,212,0.002,0.04,,,,-0.04,,-5,-5,0.019,0.019,33,24,33,25,1,3,3,1,1,1,1.59,1.29,1.29,47.8,,,,,
SL,2026-04-08,76.3,-3.81,3.93,"Semien, Marcus",543760,657044,field_out,hit_into_play,,,,,3,Marcus Semien flies out to left fielder Tim Tawa.,R,R,R,NYM,AZ,X,7,fly_ball,1,1,2026,1.4,0.8,0.3794243447814589,3.138483370213629,,673357,683146,2,6,Bot,48.4,116.07,,,,,6.15001169116702,-110.73918326418828,4.212486539307957,10.12432040604825,22.636419511336705,-26.79092292747717,3.212106299,1.621062992,280,84.2,43,76,2181,6.5,823646,672515,699912,545121,571448,672695,694374,678489,682998,53.95,0.014,0.017,0,1,0,0,3,52,3,Slider,1,5,1,5,5,1,1,5,Standard,Standard,89,-0.033,-0.253,71.3,8.0,0.026,0.253,88.0,-4,-4,0.092,0.092,34,35,34,36,1,2,1,1,3,1,3.18,-1.4,-1.4,-5.0,0.9033572011514697,-34.18329488981311,34.55491168451689,33.63376133779559,39.50969065211659
