"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-11,97,-1.57,5.96,"Polanco, Jorge",593871,665622,,ball,,,,,14,Ball,R,L,R,NYM,ATH,B,,,0,0,2026,-0.88,1.66,0.6782554294534759,1.3815387893925302,,,,0,9,Bot,,,,,,,7.94899796455789,-140.5444490208353,-10.09627233297606,-13.689985952183557,40.13965438064372,-7.944532131425774,3.191043307,1.610433071,,,,95.6,2439,6.3,823644,669127,701762,643446,687231,805779,691016,672016,671732,54.18,,,,,,,,84,1,4-Seam Fastball,6,11,6,11,11,6,6,11,Standard,Standard,222,0.001,0.041,,,,-0.041,,-5,-5,0.008,0.008,27,32,27,33,1,4,7,3,2,1,0.84,0.88,-0.88,37.4,,,,,
FF,2026-04-11,90.8,-2.87,5.59,"Polanco, Jorge",593871,686993,,ball,,,,,11,Ball,R,L,R,NYM,ATH,B,,,0,0,2026,-0.98,1.61,-0.5758369208986607,3.729762261957354,,,,0,7,Bot,,,,,,,7.851041383583974,-131.82723715265948,-1.9185702215959037,-13.292293662237602,35.37210426968805,-13.509653281850897,3.191043307,1.610433071,,,,90.2,2313,6.7,823644,669127,701762,643446,691777,805779,691016,672016,671732,53.84,,,,,,,,64,1,4-Seam Fastball,5,7,5,7,7,5,5,7,Standard,Standard,217,0.007,0.041,,,,-0.041,,-2,-2,0.221,0.221,29,32,30,33,1,3,2,3,3,1,1.23,0.98,-0.98,36.6,,,,,
FF,2026-04-11,89.8,3.21,5.47,"Lindor, Francisco",596019,682052,,called_strike,,,,,6,Called Strike,R,R,L,NYM,ATH,S,,,0,0,2026,0.94,1.22,0.2990892313264357,2.373014651415458,,,,0,1,Bot,,,,,,,-9.25177187842918,-130.28962679157084,-3.9980436538810893,12.90724107577778,32.66708578124692,-17.70094468088616,3.107668963,1.568356299,,,,90.1,2081,7.1,823644,669127,701762,643446,691777,805779,691016,672016,671732,53.44,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,127,-0.003,-0.039,,,,0.039,,0,0,0.548,0.548,28,32,28,33,1,0,6,1,5,1,1.67,0.94,-0.94,27.1,,,,,
FC,2026-04-11,91,-1.71,6.13,"Semien, Marcus",543760,669270,,ball,,,,,14,Ball,R,R,R,NYM,ATH,B,,,0,0,2026,0.08,0.47,2.2639163722295987,2.212495508374441,,,701807,0,6,Bot,,,,,,,9.755280225611294,-132.00626403329736,-4.608617831934673,-1.5829142504411493,33.304456229187764,-25.75348725568406,3.212106299,1.621062992,,,,91.1,2249,7,823644,669127,701762,643446,691777,805779,691016,672016,671732,53.55,,,,,,,,56,1,Cutter,4,7,4,7,7,4,4,7,Standard,Strategic,197,0.008,0.04,,,,-0.04,,-3,-3,0.211,0.211,31,35,31,36,1,2,3,1,1,1,2.34,-0.08,-0.08,33.8,,,,,
SI,2026-04-11,91.8,-1.56,5.68,"Baty, Brett",683146,643410,,foul_tip,,,,,1,Foul Tip,R,L,R,NYM,ATH,S,,,0,0,2026,-1.65,1.11,-0.4483727699683726,3.0162286083791416,,,,0,8,Bot,,,,,,,6.438628838439811,-133.46286376347743,-3.0435963542804463,-21.108765710104894,33.214977023947014,-18.56886918644952,3.327952756,1.679527559,,,,91.5,2013,6.5,823644,669127,701762,643446,691777,805779,691016,672016,671732,53.97,,,,,,,,77,1,Sinker,6,11,6,11,11,6,6,11,Standard,Standard,222,-0.001,-0.039,78.7,7.3,,0.039,,-5,-5,0.022,0.022,35,26,35,27,1,1,1,1,3,1,1.64,1.65,-1.65,41.0,12.144143515470821,3.4088054243948998,32.98969419869155,41.88592957168252,29.124867012145774
ST,2026-04-11,79.7,-2.92,5.57,"Polanco, Jorge",593871,686993,home_run,hit_into_play,,,,,9,Jorge Polanco homers (1) on a fly ball to right field.,R,L,R,NYM,ATH,X,,fly_ball,1,0,2026,1.09,0.65,0.4254861189291783,2.046425454590774,,,,0,7,Bot,227.08,101.45,,,,,5.177015063964447,-115.85271288937291,-1.8668114997571057,8.509646012889808,26.26365380664529,-26.235428377746352,3.191043307,1.610433071,346,94.7,30,79.4,2539,6.6,823644,669127,701762,643446,691777,805779,691016,672016,671732,53.87,0.183,0.306,2,1,0,3,5,64,2,Sweeper,5,7,5,7,7,6,6,7,Standard,Standard,65,0.136,1.073,72.6,8.0,0.561,-1.073,94.7,-2,-2,0.228,0.228,29,32,30,33,1,3,2,3,3,1,3.01,-1.09,1.09,37.0,15.634983326034437,-27.978245523461773,30.355215547329326,34.08806810045089,39.59101710764041
FF,2026-04-11,96.6,-1.67,5.94,"Polanco, Jorge",593871,665622,,called_strike,,,,,4,Called Strike,R,L,R,NYM,ATH,S,,,1,0,2026,-0.78,1.54,-0.44951689579813014,2.2505787359801883,,,,0,9,Bot,,,,,,,4.993254928249512,-140.34411748611575,-7.465549478680246,-11.461722281729669,38.23095342358929,-10.391725753100966,3.191043307,1.610433071,,,,95.6,2444,6.3,823644,669127,701762,643446,687231,805779,691016,672016,671732,54.23,,,,,,,,84,2,4-Seam Fastball,6,11,6,11,11,6,6,11,Standard,Standard,218,-0.001,-0.05,,,,0.05,,-5,-5,0.009,0.009,27,32,27,33,1,4,7,3,2,1,0.96,0.78,-0.78,37.1,,,,,
FC,2026-04-11,90.6,-1.76,6.03,"Semien, Marcus",543760,669270,,ball,,,,,14,Ball,R,R,R,NYM,ATH,B,,,1,0,2026,0.29,0.44,1.9153600702932636,1.6025534322291426,,,701807,0,6,Bot,,,,,,,8.5204551862746,-131.48984197326445,-5.7396610842101055,1.067851544289762,34.27159901116613,-25.821971757843794,3.212106299,1.621062992,,,,90.6,2350,7,823644,669127,701762,643446,691777,805779,691016,672016,671732,53.53,,,,,,,,56,2,Cutter,4,7,4,7,7,4,4,7,Standard,Strategic,203,0.016,0.062,,,,-0.062,,-3,-3,0.219,0.219,31,35,31,36,1,2,3,1,1,1,2.4,-0.29,-0.29,32.4,,,,,
FF,2026-04-11,90.1,3.1,5.59,"Lindor, Francisco",596019,682052,,foul,,,,,3,Foul,R,R,L,NYM,ATH,S,,,0,1,2026,1.2,1.17,0.717317383973225,3.049122375613517,,,,0,1,Bot,,,,,,,-8.551040843412618,-130.8532627201335,-2.605446037777686,15.694973947670697,32.36436902116903,-18.47359776895003,3.107668963,1.568356299,129,81.1,73,90.5,2103,7.1,823644,669127,701762,643446,691777,805779,691016,672016,671732,53.44,,,,,,,,5,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,124,-0.006,-0.055,64.4,7.4,,0.055,88.0,0,0,0.545,0.545,28,32,28,33,1,0,6,1,5,1,1.69,1.2,-1.2,28.8,8.760117847334996,3.327752118504845,27.463968273837835,42.763862143559344,26.274593579560424
SI,2026-04-11,92.6,-1.37,5.72,"Baty, Brett",683146,643410,,foul,,,,,5,Foul,R,L,R,NYM,ATH,S,,,0,1,2026,-1.51,1.2,-0.12178800946841783,2.38090207113342,,,,0,8,Bot,,,,,,,6.5301860507317375,-134.56847799355316,-5.12790564702675,-19.72026943648476,31.656437233403285,-16.715152592439946,3.327952756,1.679527559,140,74.5,13,92.7,2067,6.6,823644,669127,701762,643446,691777,805779,691016,672016,671732,53.87,,,,,,,,77,2,Sinker,6,11,6,11,11,6,6,11,Standard,Standard,217,-0.003,-0.055,78.1,7.1,,0.055,88.0,-5,-5,0.021,0.021,35,26,35,27,1,1,1,1,3,1,1.49,1.51,-1.51,44.0,-0.7677175023705225,10.598528050565067,40.92323910131332,38.25105465824453,23.95976260559121
