"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
,2026-04-13,,,,"Bichette, Bo",666182,680736,,automatic_ball,,,,,,Automatic Ball - Pitcher Pitch Timer Violation,R,R,L,LAD,NYM,B,,,0,0,2026,,,,,,,,0,2,Top,,,,,,,,,,,,,,,,,,,,,823964,669257,518692,669289,571970,500743,606192,681624,663656,,,,,,,,,11,1,,1,0,0,1,0,1,0,1,,,,-0.004,,,,,,,1,-1,0.603,0.397,25,28,26,28,1,0,7,1,,1,,,,,,,,,
SL,2026-04-13,90,2.87,5.29,"Semien, Marcus",543760,656945,,called_strike,,,,,5,Called Strike,R,R,L,LAD,NYM,S,,,0,0,2026,-0.46,0.3,0.24884203772510527,2.2331770241141093,,,,0,9,Top,,,,,,,-5.409588510644595,-131.0280394222492,-2.101478492655891,-4.337322552585838,25.172541124553916,-28.517043102681075,3.212106299,1.621062992,,,,90.1,2627,6.2,823964,669257,518692,669289,571970,500743,606192,681624,663656,54.35,,,,,,,,63,1,Slider,4,0,0,4,0,4,0,4,Infield shade,Standard,237,0.001,-0.039,,,,0.039,,4,-4,0.985,0.015000000000000013,31,35,32,36,1,2,2,1,2,1,2.49,-0.46,0.46,33.3,,,,,
FF,2026-04-13,92.6,1.98,5.53,"Lindor, Francisco",596019,680736,,ball,,,,,13,Ball,R,R,L,LAD,NYM,B,,,0,0,2026,0.59,1.29,-0.8653133467061805,1.613451223733956,,,,0,1,Top,,,,,,,-8.33921365614056,-134.6345470541579,-6.793868918079177,8.809055853893934,26.2751338692353,-15.154776799917633,3.107668963,1.568356299,,,,91.7,2314,5.6,823964,669257,518692,669289,571970,500743,606192,681624,663656,54.95,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,144,-0.004,0.041,,,,-0.041,,0,0,0.5,0.5,25,32,26,33,1,0,7,1,,1,1.35,0.59,-0.59,34.3,,,,,
FF,2026-04-13,96.8,2.67,5.27,"Semien, Marcus",543760,656945,single,hit_into_play,,,,,1,Marcus Semien singles on a line drive to center fielder Andy Pages.,R,R,L,LAD,NYM,X,8,line_drive,0,1,2026,0.47,1.25,-0.331887381285044,2.737946799931535,,,,0,9,Top,101.27,86.03,,,,,-8.937294589845536,-140.67038530657342,-3.911300098598292,8.250797150253657,30.785955821744363,-14.839849489046733,3.212106299,1.621062992,218,84.4,17,96.3,2631,6,823964,669257,518692,669289,571970,500743,606192,681624,663656,54.48,0.969,0.899,0.9,1,1,0,4,63,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Infield shade,Standard,138,-0.02,0.477,68.6,7.1,1.088,-0.477,88.0,4,-4,0.986,0.014000000000000012,31,35,32,36,1,2,2,1,2,1,1.18,0.47,-0.47,34.8,9.212406904814697,11.387737961542756,31.406694399731368,30.006716306713763,24.565123706427826
FF,2026-04-13,93.7,2.08,5.57,"Lindor, Francisco",596019,680736,,foul,,,,,12,Foul,R,R,L,LAD,NYM,S,,,1,0,2026,0.6,1.29,0.029130868657416653,3.453599867118541,,,,0,1,Top,,,,,,,-6.465501776086361,-136.3990088272537,-2.4965110539768514,8.85478675556476,27.85475658116748,-15.600274224986915,3.107668963,1.568356299,171,68.3,63,92.6,2380,5.4,823964,669257,518692,669289,571970,500743,606192,681624,663656,55.05,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,141,0.005,-0.05,74.0,7.1,,0.05,88.0,0,0,0.496,0.504,25,32,26,33,1,0,7,1,,1,1.28,0.6,-0.6,38.6,6.641176839532035,8.629594549697687,24.169278909620612,33.88881431626371,25.32969315795214
FF,2026-04-13,96.8,2.69,5.22,"Taylor, Tyrone",621438,656945,,called_strike,,,,,8,Called Strike,R,R,L,LAD,NYM,S,,,0,0,2026,0.56,1.25,-0.02653943621287913,1.8392579543443615,,,543760,0,9,Top,,,,,,,-8.426456028020516,-140.7838978394694,-6.194556947749175,9.289807938947629,28.821070015502382,-14.338411637076625,3.231414042,1.630807087,,,,96.9,2566,6.2,823964,669257,518692,669289,571970,500743,606192,681624,663656,54.34,,,,,,,,64,1,4-Seam Fastball,4,0,0,4,0,4,0,4,Infield shade,Standard,146,0.003,-0.043,,,,0.043,,4,-4,0.966,0.03400000000000003,31,32,32,32,1,2,2,1,2,4,1.17,0.56,-0.56,33.2,,,,,
SL,2026-04-13,87.1,2.3,5.46,"Lindor, Francisco",596019,680736,,foul,,,,,5,Foul,R,R,L,LAD,NYM,S,,,1,1,2026,-0.45,0.04,-0.10556883745749213,2.125344885367916,,,,0,1,Top,,,,,,,-4.688488121309116,-126.86945862509154,-1.708314124862373,-3.8542264586195225,26.296034742117595,-31.553015651693194,3.107668963,1.568356299,3,69.6,-38,85.8,2305,5.4,823964,669257,518692,669289,571970,500743,606192,681624,663656,55.09,,,,,,,,1,3,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,251,0.006,-0.061,75.8,8.1,,0.061,88.0,0,0,0.501,0.499,25,32,26,33,1,0,7,1,,1,2.96,-0.45,0.45,34.6,18.851420471428234,-12.087247577176344,30.48653888798365,33.65430663401958,33.595746895289494
FF,2026-04-13,97.2,2.72,5.26,"Taylor, Tyrone",621438,656945,,ball,,,,,13,Ball,R,R,L,LAD,NYM,B,,,0,1,2026,0.59,1.38,-0.2589209963577861,1.1477508411945174,,,543760,0,9,Top,,,,,,,-9.190053637326676,-141.18322256908368,-8.424938363513347,9.856943137784793,30.35788403185665,-11.998357565385003,3.231414042,1.630807087,,,,97,2585,6.1,823964,669257,518692,669289,571970,500743,606192,681624,663656,54.37,,,,,,,,64,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,140,-0.002,0.034,,,,-0.034,,4,-4,0.969,0.031000000000000028,31,32,32,32,1,2,2,1,2,4,1.03,0.59,-0.59,31.1,,,,,
SL,2026-04-13,86.5,2.14,5.56,"Lindor, Francisco",596019,680736,,ball,,,,,13,Ball,R,R,L,LAD,NYM,B,,,1,2,2026,-0.35,-0.31,-0.4286622439304324,0.5460940246388679,,,,0,1,Top,,,,,,,-5.2351115284178125,-125.99419365677713,-4.83823923726871,-2.753080834387511,23.921231012050097,-34.7590735464149,3.107668963,1.568356299,,,,85.3,2597,5.3,823964,669257,518692,669289,571970,500743,606192,681624,663656,55.21,,,,,,,,1,4,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,300,-0.004,0.043,,,,-0.043,,0,0,0.507,0.493,25,32,26,33,1,0,7,1,,1,3.33,-0.35,0.35,35.4,,,,,
FF,2026-04-13,93.3,2.09,5.51,"Lindor, Francisco",596019,680736,field_out,hit_into_play,,,,,5,Francisco Lindor flies out to right fielder Kyle Tucker.,R,R,L,LAD,NYM,X,9,fly_ball,2,2,2026,0.6,1.44,0.23888615852936446,2.288739291967231,,,,0,1,Top,194.26,103.98,,,,,-5.9840618311534355,-135.73527859084732,-5.489344388371415,8.717580900443574,29.578695013809796,-13.339282292179002,3.107668963,1.568356299,290,85.3,30,92.4,2443,5.7,823964,669257,518692,669289,571970,500743,606192,681624,663656,54.76,0.04,0.04,0,1,0,0,3,1,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,146,0.019,-0.232,65.1,7.2,0.064,0.232,88.0,0,0,0.503,0.497,25,32,26,33,1,0,7,1,,1,1.18,0.6,-0.6,36.8,10.790731509436352,21.415485877005956,33.48321515408151,36.95249526713848,21.175976943284127
