"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-17,96,-1.17,6,"Benge, Carson",701807,665795,,ball,,,,,14,Ball,R,L,R,CHC,NYM,B,,,0,0,2026,-1.06,1.02,1.2539992405723046,1.7035724034491855,,,,0,1,Top,,,,,,,8.773443084615312,-139.42458473144262,-7.876854680473827,-15.760426758149684,30.466893844503563,-17.23674435244493,3.259498032,1.644980315,,,,96,2239,6.4,824693,608348,683737,663538,608324,621020,664023,691718,673548,54.14,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,226,-0.004,0.041,,,,-0.041,,0,0,0.5,0.5,28,23,28,23,1,0,6,2,,1,1.46,1.06,-1.06,34.9,,,,,
FF,2026-04-17,93.7,2.35,6.04,"Vientos, Mark",668901,702303,single,hit_into_play,,,,,4,Mark Vientos singles on a ground ball to center fielder Pete Crow-Armstrong.,R,R,L,CHC,NYM,X,8,ground_ball,0,0,2026,0.4,1.3,-0.47847983826326485,2.5810683063944246,,,,0,7,Top,111.97,87.12,,,,,-8.027400779898526,-136.35535821907703,-5.934661692576947,6.604152549294921,25.59018672732685,-14.73644378449933,3.340239501,1.685728347,56,101.2,1,93.4,2406,5.8,824693,608348,683737,663538,608324,621020,664023,691718,673548,54.75,0.483,0.453,0.9,1,1,0,4,56,1,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,152,-0.029,0.438,73.7,7.0,0.55,-0.438,101.2,4,-4,0.941,0.05900000000000005,28,26,28,27,1,0,3,3,2,1,1.26,0.4,-0.4,55.0,6.961389930506975,12.677547398944677,33.82333672687776,31.278685131306176,22.59478248594138
FF,2026-04-17,91.9,-3.12,5.48,"Lindor, Francisco",596019,657097,,called_strike,,,,,11,Called Strike,R,L,R,CHC,NYM,S,,,0,0,2026,-0.53,1.26,-0.5490084228451545,3.2561836514621194,,,,0,8,Top,,,,,,,7.583390609878251,-133.56046022131085,-2.3383183565619006,-8.055147979738146,30.659159296527136,-16.890879212160392,3.107668963,1.568356299,,,,91.6,2349,6.3,824693,608348,683737,663538,608324,621020,664023,691718,673548,54.2,,,,,,,,67,1,4-Seam Fastball,10,3,3,10,3,10,3,10,Infield shade,Standard,218,0,-0.039,,,,0.039,,7,-7,0.996,0.0040000000000000036,32,32,33,33,1,3,3,2,2,1,1.46,0.53,-0.53,31.1,,,,,
SI,2026-04-17,87.3,4.33,4.17,"Taylor, Tyrone",621438,571948,,called_strike,,,,,8,Called Strike,R,R,L,CHC,NYM,S,,,0,0,2026,1.46,0.05,0.1792488068456657,1.6637043947585735,,,,0,9,Top,,,,,,,-12.97493109991193,-126.51325810359654,0.2400440489859832,18.250458194632326,24.430325303546617,-31.91606710272957,3.231414042,1.630807087,,,,87.9,1942,6.7,824693,608348,683737,663538,608324,621020,664023,691718,673548,53.75,,,,,,,,78,1,Sinker,12,4,4,12,4,12,4,12,Standard,Standard,101,0,-0.039,,,,0.039,,8,-8,0.999,0.0010000000000000009,35,32,35,32,1,3,6,4,,1,2.95,1.46,-1.46,-5.4,,,,,
CH,2026-04-17,84.6,-2.97,5.58,"Lindor, Francisco",596019,657097,,foul,,,,,14,Foul,R,L,R,CHC,NYM,S,,,0,1,2026,-1.31,0.65,0.21519625741126602,1.2127826110796507,,,,0,8,Top,,,,,,,9.983841482270723,-122.6969560391821,-4.799728394962896,-15.328323311023706,26.793245775825355,-24.81807730641114,3.107668963,1.568356299,,,,84.1,2212,6.4,824693,608348,683737,663538,608324,621020,664023,691718,673548,54.1,,,,,,,,67,2,Changeup,10,3,3,10,3,10,3,10,Infield shade,Standard,242,0.001,-0.055,76.1,8.1,,0.055,,7,-7,0.996,0.0040000000000000036,32,32,33,33,1,3,3,2,2,1,2.59,1.31,-1.31,32.3,24.975139352673573,-10.927286384762416,44.46238551248179,34.559455214210786,40.414765772699454
FF,2026-04-17,95.7,-1.42,5.96,"Benge, Carson",701807,665795,,called_strike,,,,,8,Called Strike,R,L,R,CHC,NYM,S,,,1,0,2026,-1,1.05,0.12935043740892493,1.684591133628243,,,,0,1,Top,,,,,,,6.330838333969943,-139.0583870923607,-7.812700185936726,-14.396413067762541,30.38271761628682,-17.01748276964819,3.259498032,1.644980315,,,,95.8,2273,6.4,824693,608348,683737,663538,608324,621020,664023,691718,673548,54.13,,,,,,,,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,228,0.005,-0.05,,,,0.05,,0,0,0.496,0.504,28,23,28,23,1,0,6,2,,1,1.44,1,-1,30.5,,,,,
CH,2026-04-17,81.5,4.39,4,"Taylor, Tyrone",621438,571948,,ball,,,,,14,Ball,R,R,L,CHC,NYM,B,,,0,1,2026,1.37,-0.06,0.740783486618694,1.2722500053727153,,,,0,9,Top,,,,,,,-10.808257992067098,-118.1797033774393,0.8041046020529152,14.821705019189563,21.286184688017308,-33.076613427128414,3.231414042,1.630807087,,,,82.1,1750,6.7,824693,608348,683737,663538,608324,621020,664023,691718,673548,53.76,,,,,,,,78,2,Changeup,12,4,4,12,4,12,4,12,Standard,Standard,86,0,0.031,,,,-0.031,,8,-8,0.999,0.0010000000000000009,35,32,35,32,1,3,6,4,,1,3.5,1.37,-1.37,-8.2,,,,,
FF,2026-04-17,94.2,2.52,6,"Taylor, Tyrone",621438,702303,,called_strike,,,,,4,Called Strike,R,R,L,CHC,NYM,S,,,0,0,2026,0.41,1.42,-0.5126755077107583,2.606449219294325,,,668901,0,7,Top,,,,,,,-8.602012925400345,-136.85406979944548,-6.031337914245648,7.073355992255354,30.168372446442056,-13.156123972879818,3.231414042,1.630807087,,,,93.2,2397,5.8,824693,608348,683737,663538,608324,621020,664023,691718,673548,54.74,,,,,,,,57,1,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,151,0.004,-0.043,,,,0.043,,4,-4,0.912,0.08799999999999997,28,32,28,32,1,2,3,4,2,1,1.16,0.41,-0.41,49.3,,,,,
CH,2026-04-17,82,4.31,4.02,"Taylor, Tyrone",621438,571948,single,hit_into_play,,,,,14,Tyrone Taylor singles on a line drive to right fielder Seiya Suzuki.,R,R,L,CHC,NYM,X,9,line_drive,1,1,2026,1.4,-0.17,1.054801469046633,1.7027732476980306,,,,0,9,Top,166.43,112.39,,,,,-10.103407466252154,-119.03788077882473,1.871630099663297,15.234194965272533,22.043453088333276,-34.36989430389213,3.231414042,1.630807087,213,76.8,19,82.8,1774,6.9,824693,608348,683737,663538,608324,621020,664023,691718,673548,53.61,0.989,0.904,0.9,1,1,0,4,78,3,Changeup,12,4,4,12,4,12,4,12,Standard,Standard,88,0,0.447,71.0,7.4,1.065,-0.447,88.0,8,-8,0.999,0.0010000000000000009,35,32,35,32,1,3,6,4,,1,3.56,1.4,-1.4,-9.2,7.95212250953494,8.76105599523465,36.17367585108797,50.17357602263665,19.73220461102049
CH,2026-04-17,92.5,-1.44,5.96,"Benge, Carson",701807,665795,,swinging_strike,,,,,14,Swinging Strike,R,L,R,CHC,NYM,S,,,1,1,2026,-1.18,0.14,0.674413127594536,1.0593673964441308,,,,0,1,Top,,,,,,,7.968178491346452,-134.3872278863621,-6.746908584340602,-16.026169088099145,29.357199936131188,-29.161122719701932,3.259498032,1.644980315,,,,92.7,1761,6.5,824693,608348,683737,663538,608324,621020,664023,691718,673548,53.96,,,,,,,,1,3,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,243,0.006,-0.061,73.6,7.4,,0.061,,0,0,0.501,0.499,28,23,28,23,1,0,6,2,,1,2.53,1.18,-1.18,32.2,10.216537385614508,-11.174999758513232,39.38087098440841,30.654066785636232,37.98085147018742
